id;nom;nuit_occ;jour_occ;soir_occ;sem_occ;we_occ;tx_occ;tx_penurie;ete_occ;autsaison_occ;zone
001;001-Antigone;47.8;51.75;48.49;50.23;46.36;49.56;0.0;55.2;47.65;Centre
003;003-Comedie;31.76;55.02;59.93;48.41;37.81;48.05;0.0;39.1;50.72;Centre
004;004-Corum;10.39;26.87;36.88;23.86;19.48;24.75;0.13;19.1;27.84;Centre
005;005-Europa;18.45;42.37;20.73;32.1;18.99;28.68;0.0;24.61;28.9;Centre
006;006-Foch;56.15;70.47;78.32;68.33;57.06;67.26;0.01;64.32;68.5;Centre
007;007-Gambetta;46.38;51.52;51.68;50.24;44.83;49.58;0.0;50.77;52.31;Centre
008;008-Gare;40.7;54.17;51.09;50.69;41.7;48.76;0.0;42.96;51.48;Centre
009;009-Triangle;32.99;59.47;45.59;49.08;34.23;46.94;0.07;42.98;49.67;Centre
010;010-Pitot;30.28;48.01;43.55;42.38;32.59;40.72;0.12;35.43;40.26;Centre
011;011-Circe;4.07;21.07;12.43;15.15;8.64;13.72;0.0;22.65;10.91;Périphérie
012;012-Garcia Lorca;13.58;25.89;15.61;20.76;14.2;19.14;0.0;12.8;26.2;Périphérie
013;013-Mosson;5.3;39.4;11.32;23.11;14.96;20.8;0.0;13.3;20.31;Périphérie
014;014-Sabines;15.62;49.37;20.94;39.0;20.13;34.37;0.04;45.82;34.3;Périphérie
015;015-Sablassou;20.81;41.74;25.0;33.04;20.98;30.4;0.0;17.91;28.25;Périphérie
016;016-Saint Jean Le Sec;22.07;31.2;23.81;26.73;24.01;26.29;0.0;9.87;31.88;Périphérie
017;017-Euromedecine;14.16;31.41;17.78;24.31;15.35;22.13;0.0;4.0;23.67;Périphérie
018;018-Occitanie;13.47;42.98;20.12;31.06;15.45;27.25;0.0;8.92;29.71;Périphérie
019;019-Vicarello;16.65;36.35;18.81;27.48;15.74;25.54;0.0;18.07;23.66;Périphérie
022;022-Charles de Gaulle;33.24;43.3;34.93;39.75;31.94;37.79;0.0;51.09;37.42;Périphérie
024;024-Polygone;13.44;38.57;28.18;27.86;17.4;27.33;0.0;28.5;26.11;Centre
002;002-Arc de Triomphe;65.19;76.86;77.08;74.01;63.82;72.63;0.0;65.19;74.1;Centre
