hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2993;84.0;166.0;124.8;22.6;373586.0;102.0;127.0;146.0;52.23;47.77;0;0.0
1;2990;91.0;166.0;124.9;22.6;373407.0;102.0;126.5;147.0;52.25;47.75;0;0.0
2;2984;91.0;166.0;125.0;22.6;372852.0;102.0;127.0;146.25;52.28;47.72;0;0.0
3;2988;92.0;166.0;124.8;22.6;372977.0;102.0;127.0;146.0;52.23;47.77;0;0.0
4;2993;91.0;165.0;124.6;22.7;372865.0;102.0;127.0;146.0;52.13;47.87;0;0.0
5;2992;91.0;165.0;124.6;22.7;372842.0;102.0;127.0;146.0;52.14;47.86;0;0.0
6;2996;92.0;166.0;124.7;22.8;373481.0;102.0;127.0;146.0;52.16;47.84;0;0.0
7;2985;89.0;165.0;124.5;23.0;371660.0;101.0;126.0;146.0;52.1;47.9;0;0.0
8;2978;72.0;161.0;121.8;23.0;362607.0;99.0;122.0;143.0;50.95;49.05;0;0.0
9;2972;59.0;161.0;118.3;23.4;351630.0;97.0;117.0;140.0;49.5;50.5;0;0.0
10;2996;53.0;164.0;116.6;23.8;349328.0;96.0;115.5;138.0;48.79;51.21;0;0.0
11;3019;45.0;164.0;115.1;24.1;347458.0;94.0;115.0;137.0;48.15;51.85;0;0.0
12;3016;44.0;163.0;113.4;24.3;342155.0;91.0;114.0;134.0;47.47;52.53;0;0.0
13;3008;46.0;164.0;112.8;24.2;339245.0;90.0;113.0;133.0;47.19;52.81;0;0.0
14;3003;49.0;166.0;112.8;24.1;338734.0;91.0;114.0;132.0;47.2;52.8;0;0.0
15;3007;21.0;167.0;112.9;24.8;339503.0;91.0;115.0;133.0;47.24;52.76;0;0.0
16;3008;12.0;166.0;114.1;25.5;343241.0;92.0;115.0;135.0;47.74;52.26;0;0.0
17;3017;10.0;166.0;118.1;25.7;356375.0;97.0;119.0;141.0;49.42;50.58;0;0.0
18;3011;21.0;164.0;121.5;25.2;365780.0;101.0;121.0;145.0;50.83;49.17;0;0.0
19;3022;0.0;163.0;123.0;24.0;371616.0;102.0;123.5;145.0;51.45;48.55;3;0.09927200529450694
20;3019;1.0;164.0;123.5;23.6;372988.0;103.0;125.0;145.0;51.69;48.31;0;0.0
21;3020;13.0;165.0;123.6;23.3;373163.0;102.0;126.0;145.0;51.7;48.3;0;0.0
22;3009;37.0;164.0;124.0;22.9;373050.0;102.0;127.0;145.0;51.87;48.13;0;0.0
23;3009;59.0;165.0;124.6;22.6;374814.0;102.0;127.0;146.0;52.12;47.88;0;0.0
