hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2353;62.0;213.0;142.0;28.9;334044.0;120.0;139.0;165.0;32.26;67.74000000000001;0;0.0
1;2389;90.0;220.0;152.0;25.3;363166.0;132.0;148.0;172.0;34.55;65.45;0;0.0
2;2403;102.0;220.0;154.6;24.1;371517.0;135.5;150.0;173.0;35.14;64.86;0;0.0
3;2356;102.0;220.0;154.9;23.3;365054.0;136.0;151.0;173.0;35.22;64.78;0;0.0
4;2373;102.0;221.0;155.9;23.1;369895.0;137.0;152.0;174.0;35.43;64.57;0;0.0
5;2377;102.0;221.0;156.3;23.3;371574.0;138.0;153.0;174.0;35.53;64.47;0;0.0
6;2374;104.0;222.0;156.4;23.2;371209.0;138.0;153.0;173.0;35.54;64.46000000000001;0;0.0
7;2364;108.0;224.0;157.9;23.2;373213.0;139.75;154.0;175.0;35.88;64.12;0;0.0
8;2342;74.0;226.0;151.0;27.1;353550.0;131.0;148.0;170.0;34.31;65.69;0;0.0
9;2383;45.0;228.0;131.2;35.3;312727.0;104.0;130.0;156.0;29.83;70.17;0;0.0
10;2379;17.0;225.0;110.4;39.2;262740.0;79.0;107.0;138.0;25.1;74.9;0;0.0
11;2415;17.0;238.0;95.8;39.7;231437.0;65.0;90.0;121.0;21.78;78.22;0;0.0
12;2376;0.0;238.0;82.7;43.0;196457.0;52.0;75.0;106.0;18.79;81.21000000000001;1;0.04208754208754208
13;2408;2.0;235.0;75.2;45.3;181024.0;42.0;65.0;96.0;17.09;82.91;0;0.0
14;2374;8.0;250.0;78.3;47.6;185910.0;43.0;66.0;97.0;17.8;82.2;0;0.0
15;2373;5.0;256.0;89.3;48.5;211918.0;56.0;78.0;109.0;20.3;79.7;0;0.0
16;2366;11.0;259.0;102.3;46.1;241973.0;72.0;92.0;125.0;23.24;76.76;0;0.0
17;2403;16.0;259.0;109.7;42.1;263500.0;82.0;102.0;132.0;24.92;75.08;0;0.0
18;2406;28.0;254.0;114.2;39.5;274703.0;87.0;107.0;138.0;25.95;74.05;0;0.0
19;2434;1.0;236.0;110.1;37.9;268016.0;83.0;106.0;135.0;25.03;74.97;0;0.0
20;2449;6.0;194.0;90.1;39.7;220595.0;61.0;84.0;118.0;20.47;79.53;0;0.0
21;2446;0.0;179.0;88.1;39.9;215488.0;57.0;85.0;117.0;20.02;79.98;1;0.04088307440719542
22;2355;13.0;194.0;101.7;39.2;239483.0;70.0;100.0;132.0;23.11;76.89;0;0.0
23;2387;29.0;203.0;124.9;33.8;298176.0;98.5;125.0;151.0;28.39;71.61;0;0.0
