hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2463;111.0;310.0;263.7;40.8;649559.0;248.0;275.0;294.0;85.07;14.930000000000007;0;0.0
1;2241;121.0;310.0;273.7;38.2;613310.0;266.0;286.0;299.0;88.28;11.719999999999999;0;0.0
2;2145;126.0;310.0;275.9;38.4;591734.0;270.0;290.0;300.0;88.99;11.010000000000005;0;0.0
3;2071;116.0;310.0;277.8;38.8;575304.0;271.0;292.0;302.0;89.61;10.39;0;0.0
4;1959;119.0;310.0;281.2;36.4;550870.0;276.0;295.0;303.0;90.71;9.290000000000006;0;0.0
5;1829;146.0;310.0;285.4;33.2;521983.0;282.0;297.0;304.0;92.06;7.939999999999998;0;0.0
6;1723;147.0;310.0;287.0;31.8;494498.0;284.0;298.0;305.0;92.58;7.420000000000002;0;0.0
7;1729;145.0;310.0;287.5;30.2;497145.0;284.0;297.0;305.0;92.75;7.25;0;0.0
8;2031;88.0;310.0;280.5;33.4;569782.0;273.0;292.0;302.0;90.5;9.5;0;0.0
9;2624;25.0;310.0;264.4;43.9;693906.0;243.0;279.0;297.0;85.31;14.689999999999998;0;0.0
10;2921;14.0;310.0;245.3;52.4;716609.0;219.0;261.0;284.0;79.14;20.86;0;0.0
11;2990;0.0;310.0;227.2;55.6;679461.0;203.0;241.0;267.0;73.3;26.700000000000003;6;0.2006688963210702
12;3019;1.0;310.0;213.9;55.4;645719.0;187.0;228.0;254.0;69.0;31.0;0;0.0
13;3004;0.0;309.0;203.2;55.4;610500.0;171.0;214.0;242.0;65.56;34.44;2;0.06657789613848203
14;3003;1.0;310.0;198.8;58.2;597021.0;167.0;212.0;240.0;64.13;35.870000000000005;0;0.0
15;3002;0.0;310.0;200.1;60.6;600583.0;170.0;214.0;242.0;64.54;35.459999999999994;2;0.06662225183211193
16;2997;0.0;309.0;206.7;61.6;619553.0;177.0;223.0;250.0;66.69;33.31;7;0.23356690023356688
17;3009;2.0;309.0;216.3;61.2;650831.0;191.0;232.0;258.0;69.77;30.230000000000004;0;0.0
18;2978;0.0;310.0;216.8;66.9;645519.0;193.0;234.0;266.0;69.92;30.08;3;0.10073875083948958
19;2970;0.0;310.0;194.9;83.9;578808.0;146.0;223.0;260.0;62.87;37.13;19;0.6397306397306397
20;2972;0.0;310.0;176.3;86.8;524029.0;117.75;201.0;244.0;56.88;43.12;28;0.9421265141318977
21;2956;0.0;310.0;180.1;82.9;532362.0;119.0;202.0;245.0;58.1;41.9;27;0.9133964817320703
22;2902;9.0;310.0;210.3;66.0;610191.0;170.0;225.0;261.0;67.83;32.17;0;0.0
23;2809;43.0;310.0;245.5;48.5;689741.0;218.0;257.0;283.0;79.21;20.790000000000006;0;0.0
