hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;3032;447.0;518.0;482.3;10.8;1462316.0;475.0;483.0;489.0;81.61;18.39;0;0.0
1;3028;449.0;516.0;482.4;10.6;1460833.0;476.0;483.0;489.0;81.63;18.370000000000005;0;0.0
2;3031;450.0;517.0;482.5;10.5;1462468.0;476.0;483.0;489.0;81.64;18.36;0;0.0
3;3016;450.0;517.0;482.4;10.3;1454930.0;476.0;482.0;489.0;81.63;18.370000000000005;0;0.0
4;3025;452.0;517.0;482.2;10.1;1458578.0;475.0;482.0;489.0;81.59;18.409999999999997;0;0.0
5;3035;451.0;517.0;481.6;10.3;1461628.0;475.0;482.0;489.0;81.49;18.510000000000005;0;0.0
6;3032;449.0;510.0;480.4;10.0;1456502.0;474.0;481.0;487.0;81.28;18.72;0;0.0
7;3025;371.0;507.0;462.4;23.7;1398707.0;449.0;468.0;480.0;78.24;21.760000000000005;0;0.0
8;3010;234.0;500.0;397.8;67.9;1197508.0;344.0;394.0;469.0;67.32;32.68000000000001;0;0.0
9;3011;165.0;501.0;341.7;98.3;1028724.0;260.0;314.0;456.0;57.81;42.19;0;0.0
10;3033;155.0;502.0;328.6;103.1;996682.0;244.0;292.0;445.0;55.6;44.4;0;0.0
11;3058;128.0;509.0;325.6;103.7;995714.0;242.0;289.0;442.0;55.09;44.91;0;0.0
12;3052;120.0;508.0;332.0;101.3;1013404.0;251.0;295.0;442.0;56.18;43.82;0;0.0
13;3043;135.0;509.0;331.3;101.3;1008252.0;253.0;298.0;440.0;56.06;43.94;0;0.0
14;3044;124.0;510.0;327.7;103.0;997635.0;249.0;294.5;438.0;55.45;44.55;0;0.0
15;3042;115.0;508.0;330.2;99.6;1004570.0;253.0;299.0;435.0;55.88;44.12;0;0.0
16;3044;121.0;510.0;350.3;85.8;1066299.0;279.0;333.0;433.0;59.27;40.73;0;0.0
17;3053;238.0;508.0;400.7;56.9;1223247.0;359.0;400.0;448.0;67.8;32.2;0;0.0
18;3055;331.0;508.0;444.5;31.5;1358021.0;424.0;446.0;468.0;75.22;24.78;0;0.0
19;3059;379.0;518.0;468.6;19.4;1433518.0;458.0;471.0;482.0;79.29;20.709999999999994;0;0.0
20;3054;375.0;516.0;472.6;16.6;1443339.0;464.0;475.0;483.0;79.97;20.03;0;0.0
21;3052;383.0;518.0;476.4;13.8;1454083.0;469.0;478.0;485.0;80.62;19.379999999999995;0;0.0
22;3045;405.0;518.0;480.3;11.9;1462555.0;473.0;481.0;488.0;81.27;18.730000000000004;0;0.0
23;3048;438.0;518.0;481.9;11.0;1468735.0;475.0;482.0;489.0;81.53;18.47;0;0.0
