hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2934;82.0;421.0;234.1;54.9;686978.0;196.0;237.0;275.0;36.25;63.75;0;0.0
1;2939;144.0;425.0;273.4;36.3;803429.0;249.0;274.0;298.0;42.32;57.68;0;0.0
2;2903;197.0;425.0;284.7;31.8;826414.0;264.0;284.0;304.0;44.07;55.93;0;0.0
3;2989;208.0;421.0;291.8;30.1;872335.0;274.0;291.0;309.0;45.18;54.82;0;0.0
4;2916;224.0;421.0;297.0;29.6;866066.0;280.0;296.0;313.0;45.98;54.02;0;0.0
5;2956;226.0;422.0;300.1;29.5;887177.0;283.0;299.0;315.0;46.46;53.54;0;0.0
6;2956;225.0;421.0;301.7;28.9;891821.0;285.0;302.0;315.0;46.7;53.3;0;0.0
7;2957;224.0;422.0;303.7;28.8;897994.0;287.0;304.0;318.0;47.01;52.99;0;0.0
8;2947;200.0;422.0;295.1;31.4;869805.0;278.0;296.0;312.0;45.69;54.31;0;0.0
9;2931;122.0;426.0;262.5;42.9;769520.0;235.0;263.0;291.0;40.64;59.36;0;0.0
10;2955;81.0;424.0;213.7;55.1;631378.0;175.0;208.0;247.0;33.07;66.93;0;0.0
11;2962;21.0;422.0;182.1;59.2;539347.0;139.0;172.0;213.0;28.19;71.81;0;0.0
12;2959;11.0;411.0;157.8;66.1;466992.0;109.0;149.0;195.0;24.43;75.57;0;0.0
13;2948;1.0;410.0;137.9;70.4;406613.0;83.0;131.0;174.0;21.35;78.65;0;0.0
14;2939;2.0;410.0;141.1;74.2;414674.0;85.0;132.0;176.0;21.84;78.16;0;0.0
15;2947;17.0;409.0;154.5;77.4;455193.0;99.0;143.0;187.0;23.91;76.09;0;0.0
16;2942;23.0;409.0;171.9;75.2;505760.0;124.0;164.0;205.0;26.61;73.39;0;0.0
17;2969;2.0;411.0;181.5;72.2;538882.0;131.0;176.0;218.0;28.1;71.9;0;0.0
18;2964;18.0;401.0;184.5;67.7;546818.0;134.0;175.0;226.0;28.56;71.44;0;0.0
19;2964;3.0;394.0;165.7;71.4;491255.0;115.0;162.0;216.0;25.66;74.34;0;0.0
20;2982;0.0;389.0;115.3;82.2;343854.0;41.25;102.0;180.0;17.85;82.15;1;0.0335345405767941
21;2978;0.0;392.0;104.6;81.6;311627.0;38.0;79.0;170.0;16.2;83.8;3;0.10073875083948958
22;2958;6.0;398.0;130.1;80.3;384958.0;63.0;111.0;194.0;20.15;79.85;0;0.0
23;2960;30.0;416.0;184.7;71.2;546783.0;127.0;180.0;242.0;28.6;71.4;0;0.0
