hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2971;60.0;434.0;235.6;75.6;699904.0;195.0;211.0;240.0;52.12;47.88;0;0.0
1;2970;60.0;434.0;239.8;74.7;712270.0;201.0;215.0;241.0;53.06;46.94;0;0.0
2;2990;60.0;434.0;241.7;74.3;722642.0;203.0;217.0;242.0;53.47;46.53;0;0.0
3;2963;60.0;434.0;243.0;74.4;719947.0;205.0;218.0;243.0;53.76;46.24;0;0.0
4;2966;60.0;434.0;244.1;74.4;723902.0;206.0;220.0;243.0;54.0;46.0;0;0.0
5;2960;60.0;434.0;244.5;74.0;723583.0;208.0;220.0;244.0;54.08;45.92;0;0.0
6;2976;60.0;434.0;247.9;73.6;737715.0;210.0;223.0;246.0;54.84;45.16;0;0.0
7;2944;60.0;434.0;252.5;71.4;743405.0;214.0;227.0;249.0;55.87;44.13;0;0.0
8;2976;95.0;434.0;251.1;68.8;747407.0;213.0;226.0;251.0;55.56;44.44;0;0.0
9;2934;84.0;434.0;237.4;69.0;696635.0;195.0;214.0;250.0;52.53;47.47;0;0.0
10;2960;63.0;434.0;220.4;71.3;652431.0;172.0;198.0;244.0;48.76;51.24;0;0.0
11;2972;0.0;434.0;211.4;73.9;628278.0;161.0;190.0;242.0;46.77;53.23;1;0.033647375504710635
12;3023;15.0;434.0;208.9;75.7;631522.0;157.0;185.0;245.0;46.22;53.78;0;0.0
13;2992;7.0;434.0;206.2;76.3;616951.0;153.0;182.0;242.0;45.62;54.38;0;0.0
14;2986;7.0;434.0;206.7;77.2;617253.0;152.0;180.0;249.0;45.73;54.27;0;0.0
15;2982;38.0;434.0;211.2;75.9;629939.0;159.0;186.0;253.0;46.74;53.26;0;0.0
16;3012;24.0;434.0;218.9;75.0;659322.0;170.0;195.5;257.0;48.43;51.57;0;0.0
17;2986;70.0;434.0;227.4;72.8;679093.0;183.0;206.0;257.0;50.32;49.68;0;0.0
18;2994;60.0;434.0;229.5;73.4;687076.0;186.0;209.0;253.0;50.77;49.23;0;0.0
19;2979;60.0;434.0;223.7;74.5;666405.0;179.0;203.0;245.0;49.49;50.51;0;0.0
20;3009;28.0;434.0;212.5;76.5;639500.0;167.0;194.0;236.0;47.02;52.98;0;0.0
21;2993;28.0;434.0;209.9;78.2;628167.0;164.0;193.0;231.0;46.43;53.57;0;0.0
22;2988;60.0;434.0;216.4;77.1;646580.0;173.0;196.0;232.0;47.87;52.13;0;0.0
23;2987;60.0;434.0;227.2;76.2;678731.0;186.0;205.0;238.0;50.27;49.73;0;0.0
