hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2772;93.0;355.0;278.6;34.5;772351.0;263.0;284.0;301.0;64.2;35.8;0;0.0
1;2803;143.0;354.0;287.9;29.7;806869.0;274.0;291.0;308.0;66.33;33.67;0;0.0
2;2783;151.0;353.0;291.2;28.1;810534.0;279.0;294.0;312.0;67.11;32.89;0;0.0
3;2774;161.0;354.0;293.2;27.4;813452.0;281.0;294.0;313.0;67.57;32.43000000000001;0;0.0
4;2765;169.0;354.0;294.6;27.0;814695.0;282.0;296.0;314.0;67.89;32.11;0;0.0
5;2770;172.0;354.0;295.0;26.7;817062.0;283.0;296.0;314.0;67.97;32.03;0;0.0
6;2781;177.0;356.0;295.2;26.4;820882.0;283.0;296.0;313.0;68.01;31.989999999999995;0;0.0
7;2793;179.0;357.0;294.1;26.7;821293.0;281.0;295.0;313.0;67.75;32.25;0;0.0
8;2826;131.0;358.0;271.2;34.6;766278.0;249.0;273.0;296.0;62.48;37.52;0;0.0
9;2816;56.0;360.0;222.0;58.7;625108.0;178.0;215.0;273.0;51.15;48.85;0;0.0
10;2821;10.0;361.0;184.7;71.8;521026.0;128.0;169.0;244.0;42.56;57.44;0;0.0
11;2838;0.0;365.0;163.4;75.8;463629.0;109.0;142.0;211.0;37.64;62.36;3;0.10570824524312897
12;2839;0.0;366.0;150.2;77.5;426369.0;96.0;126.0;194.0;34.6;65.4;1;0.03522367030644593
13;2826;0.0;365.0;144.0;77.8;406895.0;91.0;119.0;185.0;33.18;66.82;1;0.035385704175513094
14;2816;5.0;366.0;143.3;77.9;403527.0;89.0;119.5;175.0;33.02;66.97999999999999;0;0.0
15;2813;0.0;367.0;146.3;77.4;411649.0;96.0;125.0;172.0;33.72;66.28;8;0.28439388553146105
16;2817;0.0;364.0;158.0;74.9;444973.0;110.0;141.0;185.0;36.4;63.6;9;0.3194888178913738
17;2825;0.0;359.0;181.4;66.3;512380.0;143.0;172.0;209.0;41.79;58.21;7;0.24778761061946902
18;2828;0.0;355.0;215.3;54.9;608943.0;187.0;214.0;245.0;49.61;50.39;1;0.03536067892503536
19;2829;0.0;353.0;238.5;47.6;674831.0;218.0;243.0;267.0;54.96;45.04;10;0.3534817956875221
20;2823;0.0;352.0;240.2;51.2;678193.0;221.0;248.0;271.0;55.35;44.65;7;0.2479631597591215
21;2835;0.0;352.0;238.4;53.8;676004.0;220.0;249.0;272.0;54.94;45.06;2;0.07054673721340389
22;2822;0.0;352.0;248.2;49.7;700296.0;231.0;257.0;279.0;57.18;42.82;1;0.03543586109142452
23;2810;41.0;354.0;264.7;41.3;743825.0;248.0;272.0;291.0;60.99;39.01;0;0.0
