hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;3023;175.0;371.0;294.4;54.0;890060.0;244.0;316.0;334.0;79.15;20.849999999999994;0;0.0
1;3013;175.0;371.0;294.8;54.1;888140.0;244.0;317.0;335.0;79.24;20.760000000000005;0;0.0
2;3010;175.0;371.0;295.1;53.9;888399.0;244.25;317.0;335.0;79.34;20.659999999999997;0;0.0
3;3013;175.0;371.0;295.1;54.1;889058.0;244.0;317.0;335.0;79.32;20.680000000000007;0;0.0
4;3006;176.0;371.0;295.0;54.1;886832.0;244.0;317.0;335.0;79.31;20.689999999999998;0;0.0
5;3010;175.0;371.0;294.6;54.0;886709.0;244.0;315.0;334.0;79.19;20.810000000000002;0;0.0
6;3017;174.0;371.0;293.0;54.0;884093.0;242.0;314.0;333.0;78.77;21.230000000000004;0;0.0
7;3005;142.0;371.0;277.6;57.9;834121.0;230.0;295.0;325.0;74.62;25.379999999999995;0;0.0
8;2989;69.0;371.0;247.5;67.8;739766.0;197.0;253.0;301.0;66.53;33.47;0;0.0
9;2995;49.0;371.0;227.6;76.5;681790.0;172.0;236.0;287.0;61.19;38.81;0;0.0
10;3019;36.0;371.0;216.6;80.1;653873.0;156.0;231.0;277.0;58.22;41.78;0;0.0
11;3010;36.0;371.0;210.8;81.4;634510.0;149.0;224.0;270.0;56.67;43.33;0;0.0
12;3013;37.0;371.0;209.8;80.8;632226.0;147.0;224.0;267.0;56.41;43.59;0;0.0
13;3007;35.0;371.0;209.4;81.5;629785.0;146.0;224.0;267.0;56.3;43.7;0;0.0
14;3002;31.0;371.0;206.6;82.7;620071.0;137.0;223.0;265.0;55.52;44.48;0;0.0
15;2980;39.0;371.0;207.0;81.8;616798.0;137.0;222.5;265.0;55.64;44.36;0;0.0
16;2979;52.0;371.0;215.3;77.7;641380.0;151.0;233.0;272.0;57.88;42.12;0;0.0
17;3015;69.0;372.0;235.2;69.7;709272.0;178.0;243.0;290.0;63.24;36.76;0;0.0
18;2995;2.0;372.0;258.7;64.3;774928.0;207.5;277.0;310.0;69.55;30.450000000000003;0;0.0
19;3013;2.0;372.0;275.4;61.5;829715.0;228.0;297.0;323.0;74.03;25.97;0;0.0
20;3050;11.0;372.0;283.2;60.0;863705.0;235.0;306.0;328.0;76.12;23.879999999999995;0;0.0
21;3047;51.0;372.0;287.6;58.4;876181.0;236.0;311.0;331.0;77.3;22.700000000000003;0;0.0
22;3028;102.0;372.0;290.1;56.4;878410.0;239.0;312.5;333.0;77.98;22.019999999999996;0;0.0
23;3037;154.0;371.0;292.3;54.8;887595.0;242.0;314.0;334.0;78.56;21.439999999999998;0;0.0
