hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2946;1327.0;1744.0;1619.6;87.4;4771419.0;1547.0;1650.5;1692.0;84.75;15.25;0;0.0
1;2936;1416.0;1748.0;1648.6;79.7;4840229.0;1626.0;1681.0;1706.0;86.27;13.730000000000004;0;0.0
2;2921;1446.0;1748.0;1657.5;78.9;4841428.0;1653.0;1689.0;1710.0;86.73;13.269999999999996;0;0.0
3;2911;1451.0;1749.0;1663.8;79.4;4843193.0;1665.5;1696.0;1714.0;87.06;12.939999999999998;0;0.0
4;2930;1459.0;1751.0;1665.7;80.0;4880423.0;1673.0;1697.0;1716.0;87.16;12.840000000000003;0;0.0
5;2957;1462.0;1754.0;1665.5;80.8;4925016.0;1673.0;1696.0;1716.0;87.16;12.840000000000003;0;0.0
6;2932;1471.0;1745.0;1658.7;80.1;4863417.0;1665.0;1689.5;1709.0;86.8;13.200000000000003;0;0.0
7;2887;1453.0;1730.0;1634.6;77.5;4719168.0;1630.0;1664.0;1684.0;85.54;14.459999999999994;0;0.0
8;2922;1387.0;1738.0;1589.7;80.5;4645026.0;1536.0;1604.0;1650.0;83.19;16.810000000000002;0;0.0
9;2928;1109.0;1740.0;1465.5;115.1;4291128.0;1383.0;1457.0;1531.0;76.69;23.310000000000002;0;0.0
10;2935;715.0;1738.0;1248.3;184.7;3663672.0;1143.0;1229.0;1313.0;65.32;34.68000000000001;0;0.0
11;2954;514.0;1704.0;1127.0;229.0;3329171.0;1005.0;1106.5;1203.0;58.97;41.03;0;0.0
12;2929;402.0;1700.0;1066.0;255.4;3122234.0;926.0;1043.0;1149.0;55.78;44.22;0;0.0
13;2877;370.0;1699.0;1036.6;278.0;2982387.0;882.0;1019.0;1138.0;54.25;45.75;0;0.0
14;2952;354.0;1702.0;1010.5;287.6;2982988.0;850.0;1000.0;1121.0;52.88;47.12;0;0.0
15;2952;366.0;1699.0;988.9;305.1;2919180.0;828.0;985.0;1103.0;51.75;48.25;0;0.0
16;2968;369.0;1695.0;1032.7;298.8;3065025.0;890.0;1050.0;1142.25;54.04;45.96;0;0.0
17;2974;371.0;1692.0;1099.9;273.5;3271190.0;984.0;1129.0;1206.0;57.56;42.44;0;0.0
18;2979;437.0;1701.0;1205.2;237.1;3590392.0;1107.5;1220.0;1310.0;63.07;36.93;0;0.0
19;2982;429.0;1694.0;1311.2;195.7;3910102.0;1230.0;1314.0;1417.0;68.62;31.379999999999995;0;0.0
20;2987;409.0;1696.0;1406.2;174.4;4200325.0;1342.5;1409.0;1509.0;73.58;26.42;0;0.0
21;2951;404.0;1707.0;1441.5;167.2;4253823.0;1383.0;1447.0;1553.0;75.43;24.569999999999993;0;0.0
22;2958;556.0;1731.0;1498.0;143.6;4431176.0;1427.0;1503.0;1605.0;78.39;21.61;0;0.0
23;2918;1054.0;1741.0;1568.3;110.0;4576288.0;1481.0;1587.0;1661.0;82.07;17.930000000000007;0;0.0
