hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2184;53.0;598.0;436.9;82.5;954298.0;386.75;455.0;496.25;59.45;40.55;0;0.0
1;2179;51.0;630.0;483.8;62.3;1054158.0;452.0;496.0;524.0;65.82;34.18000000000001;0;0.0
2;2196;52.0;629.0;497.0;55.7;1091514.0;473.0;505.0;528.25;67.63;32.370000000000005;0;0.0
3;2095;91.0;629.0;512.4;40.6;1073392.0;488.0;517.0;536.0;69.71;30.290000000000006;0;0.0
4;2111;429.0;612.0;523.3;32.6;1104772.0;502.0;524.0;541.0;71.2;28.799999999999997;0;0.0
5;2165;459.0;612.0;528.6;29.6;1144512.0;510.0;527.0;542.0;71.92;28.08;0;0.0
6;2170;459.0;610.0;528.8;29.1;1147522.0;510.0;527.0;541.75;71.95;28.049999999999997;0;0.0
7;2153;458.0;607.0;524.3;28.3;1128809.0;505.0;522.0;537.0;71.33;28.67;0;0.0
8;2173;410.0;608.0;505.3;32.9;1097993.0;484.0;502.0;525.0;68.75;31.25;0;0.0
9;2148;323.0;610.0;460.7;51.0;989608.0;424.0;457.0;497.0;62.68;37.32;0;0.0
10;2192;226.0;608.0;391.9;70.4;859037.0;341.0;378.0;431.0;53.32;46.68;0;0.0
11;2186;174.0;588.0;329.3;80.4;719872.0;275.0;310.0;356.0;44.8;55.2;0;0.0
12;2206;56.0;592.0;279.2;90.3;615825.0;219.0;265.0;312.75;37.98;62.02;0;0.0
13;2205;15.0;581.0;242.9;102.5;535631.0;182.0;230.0;291.0;33.05;66.95;0;0.0
14;2190;7.0;577.0;240.2;112.3;525939.0;173.0;229.0;286.0;32.67;67.33;0;0.0
15;2179;10.0;582.0;250.8;121.6;546547.0;178.0;243.0;305.5;34.13;65.87;0;0.0
16;2212;6.0;583.0;275.4;119.5;609253.0;207.0;270.0;337.0;37.47;62.53;0;0.0
17;2211;6.0;578.0;308.0;108.9;681014.0;255.0;309.0;365.0;41.91;58.09;0;0.0
18;2213;41.0;565.0;337.9;95.6;747877.0;288.0;338.0;394.0;45.98;54.02;0;0.0
19;2195;18.0;561.0;331.4;93.6;727515.0;274.0;335.0;394.0;45.09;54.91;0;0.0
20;2225;9.0;540.0;272.5;110.0;606202.0;195.0;273.0;356.0;37.07;62.93;0;0.0
21;2203;8.0;542.0;247.0;118.9;544092.0;155.5;246.0;339.5;33.6;66.4;0;0.0
22;2212;19.0;555.0;283.6;118.3;627427.0;194.0;284.0;376.0;38.59;61.41;0;0.0
23;2199;62.0;578.0;364.3;104.8;801143.0;289.0;375.0;449.0;49.57;50.43;0;0.0
