hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;1895;255.0;497.0;391.0;55.2;740894.0;341.0;399.0;436.0;59.6;40.4;0;0.0
1;1893;276.0;508.0;395.6;52.8;748943.0;352.0;404.0;439.0;60.31;39.69;0;0.0
2;1893;283.0;508.0;397.3;51.9;752046.0;356.0;406.0;438.0;60.56;39.44;0;0.0
3;1896;283.0;501.0;397.2;51.9;753086.0;356.75;406.0;437.0;60.55;39.45;0;0.0
4;1896;280.0;505.0;397.5;52.3;753687.0;355.0;407.0;439.0;60.6;39.4;0;0.0
5;1896;95.0;506.0;382.6;59.7;725377.0;341.75;395.0;426.0;58.32;41.68;0;0.0
6;1896;202.0;513.0;361.9;67.3;686196.0;316.0;374.0;413.0;55.17;44.83;0;0.0
7;1887;95.0;507.0;360.0;72.6;679362.0;309.5;373.0;416.5;54.88;45.12;0;0.0
8;1879;95.0;494.0;340.7;70.5;640257.0;293.0;351.0;397.0;51.94;48.06;0;0.0
9;1872;148.0;478.0;319.1;75.5;597371.0;262.0;331.0;377.0;48.64;51.36;0;0.0
10;1900;95.0;479.0;304.2;80.8;578065.0;244.0;318.0;369.0;46.38;53.62;0;0.0
11;1920;134.0;479.0;303.5;80.8;582640.0;240.0;313.0;367.0;46.26;53.74;0;0.0
12;1919;128.0;479.0;291.3;76.9;559100.0;229.5;299.0;351.5;44.41;55.59;0;0.0
13;1919;124.0;477.0;267.4;71.3;513075.0;209.0;270.0;321.0;40.76;59.24;0;0.0
14;1905;95.0;492.0;281.0;78.2;535389.0;213.0;281.0;344.0;42.84;57.16;0;0.0
15;1901;132.0;486.0;294.1;83.3;559140.0;220.0;300.0;362.0;44.84;55.16;0;0.0
16;1903;142.0;485.0;304.4;82.8;579259.0;230.0;310.0;374.0;46.4;53.6;0;0.0
17;1910;151.0;484.0;304.3;78.6;581223.0;231.25;309.0;368.0;46.39;53.61;0;0.0
18;1915;121.0;482.0;299.7;76.6;573862.0;237.0;305.0;360.0;45.68;54.32;0;0.0
19;1916;126.0;494.0;319.5;84.0;612199.0;243.0;326.5;394.0;48.71;51.29;0;0.0
20;1909;107.0;484.0;308.6;83.9;589047.0;237.0;313.0;382.0;47.04;52.96;0;0.0
21;1912;105.0;493.0;326.5;77.3;624356.0;258.75;327.0;393.0;49.78;50.22;0;0.0
22;1907;151.0;494.0;350.0;68.3;667426.0;292.5;352.0;407.0;53.35;46.65;0;0.0
23;1903;214.0;493.0;376.4;60.0;716199.0;324.0;381.0;429.0;57.37;42.63;0;0.0
