hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;3002;85.0;471.0;391.9;46.0;1176468.0;368.0;403.0;425.0;66.76;33.239999999999995;0;0.0
1;3010;98.0;473.0;407.0;37.5;1225020.0;393.25;414.0;432.0;69.33;30.67;0;0.0
2;2952;121.0;471.0;410.8;35.9;1212644.0;399.0;417.0;434.0;69.98;30.019999999999996;0;0.0
3;2903;127.0;471.0;412.2;35.3;1196570.0;401.0;418.0;434.0;70.22;29.78;0;0.0
4;2984;135.0;471.0;413.7;34.5;1234501.0;404.0;420.0;435.0;70.48;29.519999999999996;0;0.0
5;2998;140.0;472.0;414.7;34.0;1243233.0;405.0;422.0;435.0;70.65;29.349999999999994;0;0.0
6;3017;142.0;472.0;414.5;34.2;1250692.0;404.0;422.0;436.0;70.62;29.379999999999995;0;0.0
7;3002;145.0;469.0;409.8;36.0;1230149.0;397.0;417.0;433.0;69.81;30.189999999999998;0;0.0
8;2999;146.0;469.0;377.7;50.5;1132602.0;348.0;385.0;417.0;64.34;35.66;0;0.0
9;2996;123.0;472.0;335.2;69.2;1004167.0;285.75;331.0;393.0;57.1;42.9;0;0.0
10;3029;1.0;476.0;304.3;80.9;921755.0;248.0;301.0;367.0;51.84;48.16;0;0.0
11;3044;0.0;474.0;290.5;83.0;884196.0;235.0;286.0;353.0;49.48;50.52;3;0.09855453350854139
12;3048;21.0;489.0;288.2;80.9;878447.0;231.0;285.0;345.25;49.1;50.9;0;0.0
13;3027;72.0;491.0;285.7;82.4;864958.0;226.0;283.0;344.0;48.68;51.32;0;0.0
14;3032;6.0;493.0;282.3;87.4;855948.0;215.0;282.0;345.0;48.09;51.91;0;0.0
15;3030;0.0;493.0;286.2;87.1;867252.0;223.0;286.0;344.0;48.76;51.24;3;0.09900990099009901
16;3025;0.0;484.0;296.5;84.2;896789.0;244.0;297.0;351.0;50.5;49.5;10;0.3305785123966942
17;3045;0.0;482.0;314.5;80.0;957720.0;271.0;318.0;361.0;53.58;46.42;14;0.45977011494252873
18;3036;0.0;483.0;336.8;75.5;1022488.0;307.0;348.0;385.0;57.37;42.63;14;0.461133069828722
19;3039;0.0;481.0;344.7;78.2;1047528.0;325.0;361.0;391.0;58.72;41.28;13;0.42777229351760443
20;3048;0.0;471.0;324.7;85.3;989742.0;296.0;344.0;378.0;55.32;44.68;29;0.9514435695538057
21;3046;0.0;471.0;317.1;85.8;965747.0;270.0;337.0;378.0;54.01;45.99;6;0.1969796454366382
22;3033;14.0;470.0;333.5;77.4;1011539.0;288.0;351.0;391.0;56.82;43.18;0;0.0
23;3025;89.0;471.0;366.0;60.7;1107143.0;333.0;383.0;411.0;62.35;37.65;0;0.0
