hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2192;879.0;1199.0;1137.3;54.5;2492992.0;1137.0;1153.0;1164.0;94.78;5.219999999999999;0;0.0
1;2196;922.0;1199.0;1152.0;50.1;2529899.0;1154.0;1167.0;1175.0;96.0;4.0;0;0.0
2;2174;930.0;1199.0;1153.7;50.1;2508083.0;1155.0;1170.0;1177.0;96.14;3.8599999999999994;0;0.0
3;2190;930.0;1199.0;1154.1;50.1;2527577.0;1156.0;1170.0;1177.0;96.18;3.819999999999993;0;0.0
4;2199;931.0;1199.0;1154.3;50.0;2538415.0;1156.0;1170.0;1177.0;96.2;3.799999999999997;0;0.0
5;2179;930.0;1199.0;1154.2;50.0;2515042.0;1156.0;1170.0;1177.0;96.18;3.819999999999993;0;0.0
6;2195;930.0;1199.0;1152.6;50.0;2529977.0;1155.0;1168.0;1175.0;96.05;3.950000000000003;0;0.0
7;2185;871.0;1197.0;1130.1;56.8;2469230.0;1116.0;1149.0;1167.0;94.17;5.829999999999998;0;0.0
8;2276;735.0;1200.0;1059.2;98.1;2410829.0;991.0;1070.5;1150.0;88.27;11.730000000000004;0;0.0
9;2530;662.0;1200.0;999.8;138.5;2529573.0;871.0;1010.0;1140.0;83.32;16.680000000000007;0;0.0
10;2619;615.0;1200.0;967.1;144.9;2532731.0;831.0;969.0;1108.0;80.59;19.409999999999997;0;0.0
11;2703;567.0;1200.0;943.1;148.2;2549107.0;811.0;930.0;1080.0;78.59;21.409999999999997;0;0.0
12;2776;551.0;1200.0;925.0;149.4;2567721.0;795.75;905.0;1054.0;77.08;22.92;0;0.0
13;2791;544.0;1200.0;907.3;150.3;2532225.0;782.0;880.0;1036.0;75.61;24.39;0;0.0
14;2807;458.0;1200.0;899.7;154.2;2525400.0;775.0;872.0;1032.0;74.97;25.03;0;0.0
15;2802;275.0;1200.0;899.9;154.2;2521412.0;781.0;876.0;1039.0;74.99;25.010000000000005;0;0.0
16;2767;148.0;1200.0;923.0;147.2;2553850.0;824.0;901.0;1060.0;76.91;23.090000000000003;0;0.0
17;2503;570.0;1200.0;964.4;113.1;2413996.0;901.0;957.0;1030.0;80.37;19.629999999999995;0;0.0
18;2271;545.0;1200.0;1009.1;90.0;2291672.0;980.0;1022.0;1060.0;84.09;15.909999999999997;0;0.0
19;2258;535.0;1200.0;1041.4;86.4;2351479.0;1026.0;1060.0;1091.0;86.78;13.219999999999999;0;0.0
20;2267;554.0;1200.0;1053.6;83.9;2388447.0;1040.0;1074.0;1101.0;87.8;12.200000000000003;0;0.0
21;2258;592.0;1199.0;1064.9;81.2;2404647.0;1052.25;1087.0;1111.0;88.75;11.25;0;0.0
22;2237;731.0;1198.0;1085.2;72.7;2427627.0;1076.0;1104.0;1127.0;90.43;9.569999999999993;0;0.0
23;2208;815.0;1199.0;1113.7;63.3;2459054.0;1108.0;1131.0;1147.0;92.81;7.189999999999998;0;0.0
