hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2994;181.0;395.0;341.4;55.3;1022045.0;287.0;373.0;380.0;86.42;13.579999999999998;0;0.0
1;2982;181.0;395.0;341.7;55.3;1019063.0;287.0;373.0;381.0;86.52;13.480000000000004;0;0.0
2;2990;182.0;395.0;341.6;55.3;1021415.0;286.0;373.0;381.0;86.48;13.519999999999996;0;0.0
3;2983;182.0;395.0;341.7;55.3;1019212.0;286.0;373.0;381.0;86.5;13.5;0;0.0
4;2982;182.0;395.0;341.5;55.3;1018490.0;286.0;373.0;381.0;86.47;13.530000000000001;0;0.0
5;2994;182.0;395.0;341.6;55.2;1022878.0;286.0;373.0;381.0;86.49;13.510000000000005;0;0.0
6;2997;179.0;395.0;340.0;55.4;1019104.0;284.0;371.0;380.0;86.09;13.909999999999997;0;0.0
7;2986;142.0;391.0;330.3;57.2;986357.0;277.0;358.0;373.0;83.63;16.370000000000005;0;0.0
8;2978;108.0;391.0;308.9;61.4;919921.0;264.0;327.0;359.0;78.2;21.799999999999997;0;0.0
9;2973;96.0;391.0;295.6;64.7;878780.0;254.0;305.0;351.0;74.83;25.17;0;0.0
10;3000;120.0;390.0;291.9;64.1;875640.0;251.0;298.0;346.0;73.89;26.11;0;0.0
11;3018;117.0;391.0;289.0;64.1;872210.0;248.0;296.0;341.0;73.17;26.83;0;0.0
12;3011;113.0;391.0;286.9;64.7;863878.0;246.0;294.0;338.0;72.63;27.370000000000005;0;0.0
13;3003;114.0;389.0;287.9;64.4;864597.0;246.0;294.0;339.0;72.89;27.11;0;0.0
14;3001;114.0;389.0;288.8;64.4;866668.0;247.0;296.0;339.0;73.11;26.89;0;0.0
15;3004;116.0;390.0;290.2;63.8;871910.0;248.0;299.0;339.0;73.48;26.519999999999996;0;0.0
16;3005;119.0;390.0;295.5;62.5;887941.0;256.0;306.0;343.0;74.81;25.189999999999998;0;0.0
17;3013;124.0;390.0;308.5;59.3;929448.0;264.0;326.0;353.0;78.1;21.900000000000006;0;0.0
18;3017;150.0;391.0;322.9;56.6;974049.0;272.0;347.0;365.0;81.74;18.260000000000005;0;0.0
19;3020;165.0;391.0;331.4;55.5;1000859.0;280.0;358.0;373.0;83.9;16.099999999999994;0;0.0
20;3022;173.0;393.0;335.6;55.0;1014062.0;283.0;364.0;376.0;84.95;15.049999999999997;0;0.0
21;3015;169.0;395.0;337.5;55.2;1017666.0;283.0;368.0;378.0;85.45;14.549999999999997;0;0.0
22;3009;179.0;395.0;339.4;55.1;1021113.0;285.0;369.0;379.0;85.91;14.090000000000003;0;0.0
23;3007;180.0;395.0;340.6;55.2;1024212.0;286.0;371.0;380.0;86.23;13.769999999999996;0;0.0
