hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;3028;141.0;350.0;333.8;34.5;1010724.0;333.0;345.0;349.0;95.37;4.6299999999999955;0;0.0
1;3014;142.0;350.0;334.3;34.5;1007597.0;333.0;345.0;349.0;95.52;4.480000000000004;0;0.0
2;3020;142.0;350.0;334.4;34.4;1009969.0;334.0;345.0;349.0;95.55;4.450000000000003;0;0.0
3;3015;142.0;350.0;333.9;34.6;1006695.0;333.5;345.0;349.0;95.4;4.599999999999994;0;0.0
4;3020;142.0;350.0;332.1;35.1;1003047.0;331.0;344.0;348.0;94.9;5.099999999999994;0;0.0
5;3028;138.0;350.0;329.3;36.0;997033.0;329.0;342.0;346.0;94.08;5.920000000000002;0;0.0
6;3032;132.0;350.0;322.3;37.9;977276.0;322.0;336.0;342.0;92.09;7.909999999999997;0;0.0
7;3020;105.0;350.0;293.7;43.8;887045.0;276.0;305.0;324.0;83.92;16.08;0;0.0
8;3012;74.0;349.0;245.1;54.4;738155.0;210.0;241.0;289.0;70.02;29.980000000000004;0;0.0
9;2997;36.0;350.0;214.5;63.6;642725.0;172.0;201.0;261.0;61.27;38.73;0;0.0
10;3035;25.0;350.0;200.5;68.7;608554.0;153.0;181.0;254.0;57.29;42.71;0;0.0
11;3051;22.0;350.0;198.2;68.0;604842.0;148.0;177.0;251.0;56.64;43.36;0;0.0
12;3051;32.0;350.0;208.3;70.2;635612.0;153.0;197.0;263.0;59.52;40.48;0;0.0
13;3044;33.0;350.0;213.3;78.1;649303.0;150.0;202.0;276.0;60.94;39.06;0;0.0
14;3037;29.0;350.0;206.6;79.6;627346.0;142.0;192.0;268.0;59.02;40.98;0;0.0
15;3043;27.0;350.0;205.1;78.7;624186.0;144.0;187.0;264.0;58.61;41.39;0;0.0
16;3040;32.0;350.0;217.2;72.6;660344.0;164.0;202.5;267.0;62.06;37.94;0;0.0
17;3044;54.0;350.0;251.0;58.5;763991.0;213.0;248.0;285.0;71.71;28.290000000000006;0;0.0
18;3051;92.0;350.0;285.7;45.6;871643.0;267.0;288.0;310.0;81.63;18.370000000000005;0;0.0
19;3056;113.0;350.0;307.4;42.7;939427.0;301.0;315.0;328.0;87.83;12.170000000000002;0;0.0
20;3050;0.0;350.0;315.3;52.7;961582.0;317.0;329.0;338.0;90.08;9.920000000000002;2;0.06557377049180328
21;3049;5.0;350.0;320.1;55.8;976124.0;324.0;336.0;343.0;91.47;8.530000000000001;0;0.0
22;3040;8.0;350.0;323.4;55.0;983205.0;329.0;340.0;346.0;92.41;7.590000000000003;0;0.0
23;3043;46.0;350.0;329.5;41.9;1002783.0;332.0;343.0;348.0;94.15;5.849999999999994;0;0.0
