hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;1495;2.0;220.0;186.7;40.8;279139.0;183.0;196.0;208.0;84.87;15.129999999999995;0;0.0
1;1471;2.0;220.0;186.4;41.6;274148.0;182.0;196.0;209.0;84.71;15.290000000000006;0;0.0
2;1453;2.0;220.0;186.4;42.0;270867.0;183.0;197.0;209.0;84.74;15.260000000000005;0;0.0
3;1441;2.0;220.0;185.9;42.3;267837.0;182.0;196.0;209.0;84.49;15.510000000000005;0;0.0
4;1438;2.0;220.0;185.1;42.5;266239.0;181.25;196.0;209.0;84.16;15.840000000000003;0;0.0
5;1484;2.0;220.0;185.1;40.2;274703.0;181.0;197.0;208.0;84.14;15.86;0;0.0
6;1675;2.0;220.0;183.8;36.7;307870.0;175.0;193.0;206.0;83.55;16.450000000000003;0;0.0
7;2338;4.0;220.0;178.4;35.8;417194.0;164.0;187.0;203.0;81.11;18.89;0;0.0
8;2741;2.0;220.0;156.2;40.0;428234.0;134.0;162.0;187.0;71.01;28.989999999999995;0;0.0
9;2788;0.0;220.0;122.3;49.6;341026.0;85.0;121.0;164.0;55.6;44.4;2;0.07173601147776185
10;2866;0.0;220.0;103.9;54.3;297863.0;61.0;98.0;150.0;47.24;52.76;5;0.17445917655268667
11;2908;0.0;220.0;99.3;54.1;288678.0;55.0;92.0;142.0;45.12;54.88;2;0.0687757909215956
12;2901;0.0;220.0;99.9;51.2;289682.0;59.0;93.0;139.0;45.39;54.61;1;0.03447087211306446
13;2901;2.0;220.0;102.4;50.7;297159.0;61.0;96.0;139.0;46.56;53.44;0;0.0
14;2917;0.0;220.0;100.7;52.2;293607.0;59.0;94.0;140.0;45.75;54.25;1;0.03428179636612959
15;2912;3.0;220.0;103.0;50.7;299948.0;65.0;97.0;142.0;46.82;53.18;0;0.0
16;2915;3.0;220.0;114.7;46.7;334346.0;79.0;111.0;150.0;52.14;47.86;0;0.0
17;2916;13.0;220.0;130.9;42.6;381661.0;100.0;132.0;162.0;59.49;40.51;0;0.0
18;2877;0.0;220.0;155.1;40.0;446105.0;133.0;160.0;185.0;70.48;29.519999999999996;2;0.06951685783802572
19;2630;0.0;220.0;174.2;39.1;458248.0;157.25;181.0;202.0;79.2;20.799999999999997;8;0.3041825095057034
20;2121;0.0;220.0;178.7;41.4;378920.0;167.0;186.0;206.0;81.21;18.790000000000006;1;0.04714757190004715
21;1767;4.0;220.0;179.6;41.2;317282.0;173.0;188.0;205.0;81.62;18.379999999999995;0;0.0
22;1631;4.0;220.0;182.1;40.8;297080.0;177.0;191.0;205.0;82.79;17.209999999999994;0;0.0
23;1541;4.0;220.0;184.8;40.1;284716.0;181.0;193.0;207.0;83.98;16.019999999999996;0;0.0
