hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2923;18.0;285.0;222.1;73.5;649228.0;154.0;252.0;274.0;77.93;22.069999999999993;0;0.0
1;2906;18.0;285.0;222.2;73.7;645587.0;154.0;253.0;275.0;77.95;22.049999999999997;0;0.0
2;2918;18.0;285.0;222.1;73.7;648174.0;154.0;253.0;274.0;77.94;22.060000000000002;0;0.0
3;2920;18.0;285.0;222.2;73.6;648806.0;154.0;253.0;274.0;77.96;22.040000000000006;0;0.0
4;2907;18.0;285.0;222.1;73.6;645713.0;154.0;253.0;274.0;77.94;22.060000000000002;0;0.0
5;2889;18.0;285.0;222.5;73.2;642936.0;154.0;253.0;274.0;78.09;21.909999999999997;0;0.0
6;2929;18.0;285.0;221.4;73.8;648523.0;154.0;252.0;274.0;77.69;22.310000000000002;0;0.0
7;2975;18.0;285.0;217.5;73.7;646938.0;145.0;250.0;271.0;76.3;23.700000000000003;0;0.0
8;2975;18.0;285.0;209.1;74.4;622132.0;141.0;246.0;264.0;73.38;26.620000000000005;0;0.0
9;2983;18.0;285.0;202.7;74.9;604735.0;138.0;239.0;257.0;71.13;28.870000000000005;0;0.0
10;3022;18.0;285.0;197.6;74.4;597004.0;137.0;232.0;250.0;69.32;30.680000000000007;0;0.0
11;3022;18.0;285.0;194.7;73.7;588455.0;135.25;228.0;247.0;68.32;31.680000000000007;0;0.0
12;3024;18.0;285.0;193.8;73.6;585980.0;138.0;226.5;247.0;67.99;32.010000000000005;0;0.0
13;3014;18.0;285.0;192.4;73.6;579856.0;137.25;225.0;245.0;67.5;32.5;0;0.0
14;3012;18.0;284.0;190.0;74.0;572185.0;131.0;221.0;244.0;66.66;33.34;0;0.0
15;3009;18.0;284.0;190.2;73.7;572199.0;131.0;221.0;244.0;66.72;33.28;0;0.0
16;2986;18.0;285.0;194.3;72.9;580038.0;132.0;225.0;247.0;68.16;31.840000000000003;0;0.0
17;2993;18.0;285.0;202.2;72.3;605292.0;136.0;233.0;254.0;70.96;29.040000000000006;0;0.0
18;2973;18.0;285.0;210.1;73.1;624751.0;140.0;241.0;263.0;73.73;26.269999999999996;0;0.0
19;2985;18.0;285.0;216.7;73.2;646910.0;148.0;247.0;271.0;76.04;23.959999999999994;0;0.0
20;2965;18.0;285.0;218.7;74.4;648400.0;151.0;251.0;273.0;76.73;23.269999999999996;0;0.0
21;2964;18.0;285.0;219.7;74.2;651271.0;153.0;251.0;274.0;77.1;22.900000000000006;0;0.0
22;2945;18.0;285.0;220.4;74.0;649090.0;153.0;251.0;274.0;77.33;22.67;0;0.0
23;2939;18.0;285.0;221.0;73.8;649587.0;154.0;252.0;274.0;77.55;22.450000000000003;0;0.0
