hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;3025;160.0;255.0;218.8;27.9;661804.0;196.0;215.0;248.0;85.8;14.200000000000003;0;0.0
1;3021;161.0;255.0;219.1;27.8;661848.0;196.0;215.0;249.0;85.91;14.090000000000003;0;0.0
2;3017;161.0;255.0;219.2;27.8;661318.0;196.0;215.0;249.0;85.96;14.040000000000006;0;0.0
3;3012;161.0;255.0;219.1;27.7;659856.0;196.0;215.0;249.0;85.91;14.090000000000003;0;0.0
4;3019;161.0;255.0;219.1;27.7;661596.0;196.0;215.0;249.0;85.94;14.060000000000002;0;0.0
5;3009;161.0;255.0;219.0;27.8;658831.0;196.0;215.0;249.0;85.86;14.14;0;0.0
6;3029;156.0;255.0;218.1;27.9;660489.0;195.0;215.0;248.0;85.51;14.489999999999995;0;0.0
7;3022;132.0;255.0;211.9;30.4;640242.0;185.0;208.0;244.75;83.08;16.92;0;0.0
8;3010;93.0;255.0;197.1;37.4;593205.0;166.0;196.0;233.0;77.29;22.709999999999994;0;0.0
9;2996;68.0;255.0;181.6;45.5;544094.0;141.0;181.0;225.0;71.22;28.78;0;0.0
10;3029;56.0;254.0;173.6;49.3;525910.0;127.0;176.0;221.0;68.09;31.909999999999997;0;0.0
11;3054;52.0;254.0;170.8;50.5;521689.0;124.0;175.0;220.75;66.99;33.010000000000005;0;0.0
12;3044;56.0;253.0;172.4;49.5;524729.0;127.0;176.0;220.0;67.6;32.400000000000006;0;0.0
13;3034;61.0;254.0;171.7;50.1;520951.0;126.0;175.0;220.0;67.34;32.66;0;0.0
14;3031;56.0;255.0;167.6;51.8;508055.0;120.0;170.0;218.5;65.73;34.269999999999996;0;0.0
15;3038;56.0;255.0;167.1;51.4;507723.0;120.0;168.5;217.75;65.54;34.459999999999994;0;0.0
16;3039;59.0;254.0;172.1;48.3;522927.0;129.0;170.0;220.0;67.48;32.519999999999996;0;0.0
17;3049;78.0;254.0;184.7;41.1;563012.0;149.0;183.0;225.0;72.41;27.590000000000003;0;0.0
18;3037;111.0;255.0;198.7;34.4;603553.0;170.0;195.0;234.0;77.93;22.069999999999993;0;0.0
19;3054;116.0;255.0;208.0;31.7;635086.0;183.0;205.5;242.0;81.55;18.450000000000003;0;0.0
20;3048;97.0;255.0;211.9;32.1;645994.0;188.0;209.0;245.0;83.11;16.89;0;0.0
21;3047;101.0;255.0;214.2;31.6;652674.0;190.0;211.0;246.0;84.0;16.0;0;0.0
22;3040;104.0;255.0;215.5;31.1;655070.0;191.0;212.0;247.0;84.5;15.5;0;0.0
23;3040;105.0;255.0;217.4;29.0;660899.0;194.0;214.0;248.0;85.26;14.739999999999995;0;0.0
