hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2968;387.0;615.0;530.5;63.7;1574616.0;480.0;544.5;592.0;86.27;13.730000000000004;0;0.0
1;2959;400.0;613.0;532.2;63.1;1574757.0;480.0;546.0;593.0;86.54;13.459999999999994;0;0.0
2;2961;403.0;613.0;533.2;62.8;1578750.0;482.0;547.0;594.0;86.7;13.299999999999997;0;0.0
3;2957;403.0;613.0;533.0;63.1;1575984.0;481.0;546.0;594.0;86.66;13.340000000000003;0;0.0
4;2974;403.0;613.0;532.9;63.1;1584803.0;481.0;546.0;593.0;86.65;13.349999999999994;0;0.0
5;2980;403.0;615.0;533.0;63.4;1588243.0;481.0;547.0;593.0;86.66;13.340000000000003;0;0.0
6;3006;391.0;615.0;530.3;63.9;1594018.0;481.0;545.5;591.0;86.22;13.780000000000001;0;0.0
7;3005;256.0;613.0;497.1;81.0;1493644.0;436.0;506.0;570.0;80.82;19.180000000000007;0;0.0
8;2987;145.0;612.0;431.4;117.3;1288535.0;345.0;437.0;538.0;70.14;29.86;0;0.0
9;2993;50.0;611.0;377.9;149.4;1131126.0;261.0;383.0;512.0;61.45;38.55;0;0.0
10;3009;13.0;615.0;347.7;163.7;1046369.0;219.0;351.0;499.0;56.54;43.46;0;0.0
11;3035;7.0;614.0;336.1;165.6;1020148.0;203.5;339.0;490.0;54.65;45.35;0;0.0
12;3037;9.0;608.0;335.0;162.4;1017302.0;212.0;336.0;482.0;54.47;45.53;0;0.0
13;3026;11.0;606.0;330.8;163.6;1000898.0;206.0;333.0;481.0;53.78;46.22;0;0.0
14;3015;10.0;603.0;321.8;165.4;970113.0;194.0;318.0;472.0;52.32;47.68;0;0.0
15;3023;15.0;600.0;325.7;159.8;984649.0;205.0;317.0;471.0;52.96;47.04;0;0.0
16;3026;43.0;600.0;349.7;144.8;1058054.0;241.0;348.0;479.0;56.85;43.15;0;0.0
17;3034;118.0;608.0;396.6;119.7;1203349.0;309.0;400.0;499.0;64.49;35.510000000000005;0;0.0
18;3031;88.0;615.0;448.2;97.4;1358446.0;381.0;458.0;532.0;72.88;27.120000000000005;0;0.0
19;3028;66.0;615.0;481.9;86.2;1459127.0;422.0;498.0;554.0;78.35;21.650000000000006;0;0.0
20;3039;72.0;609.0;499.1;80.5;1516671.0;443.0;516.0;569.0;81.15;18.849999999999994;0;0.0
21;3031;128.0;615.0;509.9;75.7;1545570.0;455.0;524.0;578.0;82.91;17.090000000000003;0;0.0
22;3002;228.0;615.0;517.2;70.4;1552742.0;464.0;529.0;582.0;84.1;15.900000000000006;0;0.0
23;3008;315.0;613.0;525.3;65.5;1580124.0;474.0;538.5;587.25;85.42;14.579999999999998;0;0.0
