hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;2253;35.0;75.0;63.0;8.8;141842.0;58.0;65.0;70.0;83.94;16.060000000000002;0;0.0
1;2267;35.0;75.0;62.7;8.7;142199.0;57.0;65.0;69.0;83.63;16.370000000000005;0;0.0
2;2300;35.0;75.0;62.4;8.5;143501.0;57.0;64.0;69.0;83.19;16.810000000000002;0;0.0
3;2299;35.0;75.0;62.3;8.5;143316.0;57.0;64.0;69.0;83.12;16.879999999999995;0;0.0
4;2308;35.0;75.0;62.3;8.5;143882.0;57.0;64.0;69.0;83.12;16.879999999999995;0;0.0
5;2295;35.0;75.0;62.4;8.4;143198.0;58.0;64.0;69.0;83.19;16.810000000000002;0;0.0
6;2293;34.0;75.0;62.4;8.5;143146.0;58.0;64.0;69.0;83.24;16.760000000000005;0;0.0
7;2305;31.0;75.0;62.4;8.8;143922.0;58.0;64.0;69.0;83.25;16.75;0;0.0
8;2426;12.0;75.0;58.5;11.2;141934.0;51.0;61.0;67.0;78.01;21.989999999999995;0;0.0
9;2605;9.0;75.0;47.0;14.7;122426.0;36.0;47.0;58.0;62.66;37.34;0;0.0
10;2634;7.0;75.0;39.4;15.7;103778.0;28.0;37.0;49.0;52.53;47.47;0;0.0
11;2633;10.0;75.0;40.1;15.5;105577.0;28.0;38.0;50.0;53.46;46.54;0;0.0
12;2603;12.0;75.0;48.1;14.1;125269.0;38.0;48.0;59.0;64.17;35.83;0;0.0
13;2583;18.0;75.0;52.1;13.4;134607.0;43.5;53.0;62.0;69.48;30.519999999999996;0;0.0
14;2547;3.0;75.0;49.2;14.7;125263.0;38.0;50.0;61.0;65.57;34.43000000000001;0;0.0
15;2513;13.0;75.0;47.8;15.4;120185.0;36.0;48.0;61.0;63.77;36.23;0;0.0
16;2539;12.0;75.0;47.4;16.1;120370.0;34.0;48.0;61.0;63.21;36.79;0;0.0
17;2562;12.0;75.0;50.9;14.4;130471.0;40.0;52.0;63.0;67.9;32.099999999999994;0;0.0
18;2473;13.0;75.0;57.0;12.0;141042.0;49.0;58.0;67.0;76.04;23.959999999999994;0;0.0
19;2383;14.0;75.0;61.0;10.1;145268.0;55.0;63.0;69.0;81.28;18.72;0;0.0
20;2352;24.0;75.0;61.6;9.4;144835.0;56.0;64.0;69.0;82.11;17.89;0;0.0
21;2341;32.0;75.0;62.2;9.1;145496.0;57.0;64.0;69.0;82.87;17.129999999999995;0;0.0
22;2306;34.0;75.0;62.7;8.9;144633.0;57.0;65.0;70.0;83.63;16.370000000000005;0;0.0
23;2273;34.0;75.0;62.8;8.7;142770.0;57.0;65.0;69.0;83.75;16.25;0;0.0
