hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;3028;38.0;260.0;173.6;50.3;525793.0;133.0;166.0;216.0;66.79;33.209999999999994;0;0.0
1;3033;38.0;260.0;173.6;50.4;526606.0;134.0;166.0;216.0;66.78;33.22;0;0.0
2;3011;38.0;260.0;173.5;50.4;522379.0;134.0;166.0;216.0;66.73;33.269999999999996;0;0.0
3;3015;38.0;260.0;174.0;50.1;524607.0;134.0;166.0;216.0;66.92;33.08;0;0.0
4;3012;38.0;260.0;173.7;50.3;523076.0;133.0;165.0;216.0;66.79;33.209999999999994;0;0.0
5;3023;38.0;260.0;173.4;50.4;524232.0;134.0;165.0;215.0;66.7;33.3;0;0.0
6;3027;35.0;260.0;173.2;50.3;524186.0;134.0;165.0;215.0;66.6;33.400000000000006;0;0.0
7;3012;20.0;258.0;169.0;50.1;509102.0;131.0;164.0;213.0;65.01;34.989999999999995;0;0.0
8;3002;16.0;258.0;159.5;50.5;478707.0;121.0;156.0;204.0;61.33;38.67;0;0.0
9;2998;6.0;258.0;149.7;52.2;448916.0;111.0;147.0;193.0;57.59;42.41;0;0.0
10;3018;11.0;255.0;145.8;52.3;440162.0;107.0;144.0;189.0;56.09;43.91;0;0.0
11;3043;8.0;256.0;144.8;52.0;440577.0;108.0;142.0;187.0;55.69;44.31;0;0.0
12;3025;10.0;257.0;145.8;51.7;441139.0;108.0;144.0;187.0;56.09;43.91;0;0.0
13;3035;10.0;260.0;145.9;51.9;442933.0;108.0;143.0;186.0;56.13;43.87;0;0.0
14;3013;9.0;260.0;144.5;52.3;435445.0;108.0;142.0;185.0;55.59;44.41;0;0.0
15;3030;6.0;259.0;144.4;52.1;437608.0;107.0;142.0;185.0;55.55;44.45;0;0.0
16;3023;11.0;260.0;146.3;51.1;442117.0;109.0;143.0;187.0;56.25;43.75;0;0.0
17;3037;18.0;260.0;153.8;49.5;466981.0;117.0;151.0;194.0;59.14;40.86;0;0.0
18;3038;34.0;260.0;162.8;48.6;494561.0;125.0;159.0;207.0;62.61;37.39;0;0.0
19;3029;47.0;260.0;168.7;49.0;511121.0;129.0;163.0;211.0;64.9;35.099999999999994;0;0.0
20;3059;43.0;260.0;170.9;49.7;522757.0;131.0;164.0;212.0;65.73;34.269999999999996;0;0.0
21;3041;38.0;260.0;171.3;50.0;520812.0;132.0;163.0;213.0;65.87;34.129999999999995;0;0.0
22;3041;36.0;260.0;172.2;50.1;523774.0;133.0;165.0;215.0;66.25;33.75;0;0.0
23;3040;38.0;260.0;173.2;50.1;526473.0;133.0;166.0;215.0;66.61;33.39;0;0.0
