Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7632;83.0;164.0;143.74;10.44;1097002.0;139.0;146.0;151.0;60.14;39.86;0;0.0
Fev;7953;94.0;164.0;142.32;11.6;1131877.0;136.0;146.0;151.0;59.55;40.45;0;0.0
Mars;3412;114.0;166.0;147.68;9.59;503899.0;142.0;151.0;154.0;61.79;38.21;0;0.0
Avril;945;132.0;167.0;153.49;7.36;145044.0;147.0;157.0;159.0;64.22;35.78;0;0.0
Mai;8629;107.0;166.0;142.07;10.93;1225926.0;137.0;142.0;150.0;59.44;40.56;0;0.0
Juin;3419;113.0;154.0;138.11;7.59;472202.0;135.0;140.0;143.0;57.79;42.21;0;0.0
Juil;5621;76.0;125.0;107.07;7.3;601855.0;104.0;109.0;111.0;44.8;55.2;0;0.0
Aout;7860;73.0;120.0;101.85;6.97;800519.0;99.0;103.0;106.0;42.61;57.39;0;0.0
Sept;3990;44.0;109.0;93.67;9.28;373740.0;89.0;95.0;99.0;39.19;60.81;0;0.0
Oct;5331;49.0;109.0;92.95;9.13;495525.0;90.0;96.0;98.0;38.89;61.11;0;0.0
Nov;8624;0.0;116.0;95.43;11.41;822991.0;92.0;97.0;102.0;39.93;60.07;3;0.03478664192949907
Dec;8619;10.0;147.0;117.74;18.4;1014777.0;103.0;123.0;130.0;49.26;50.74;0;0.0
