Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;5640;6.0;199.0;116.14;42.73;655034.0;81.0;127.0;149.0;26.4;73.6;0;0.0
Fev;6442;8.0;203.0;113.52;44.56;731302.0;75.0;123.0;149.0;25.8;74.2;0;0.0
Mars;3395;0.0;225.0;135.35;39.18;459497.0;104.0;144.0;167.0;30.76;69.24;1;0.029455081001472753
Avril;751;18.0;194.0;111.0;41.79;83363.0;75.0;121.0;141.0;25.23;74.77;0;0.0
Mai;7001;7.0;205.0;123.34;43.89;863490.0;91.0;131.0;160.0;28.03;71.97;0;0.0
Juin;2752;11.0;229.0;128.22;43.12;352854.0;94.0;135.0;160.0;29.14;70.86;0;0.0
Juil;4139;5.0;259.0;153.16;44.16;633932.0;119.0;165.0;185.0;34.81;65.19;0;0.0
Aout;6199;0.0;235.0;150.86;44.32;935171.0;118.0;162.0;186.0;34.29;65.71000000000001;1;0.016131634134537828
Sept;3342;16.0;205.0;107.26;45.44;358447.0;68.0;112.0;141.0;24.38;75.62;0;0.0
Oct;4490;10.0;196.0;100.89;38.28;452984.0;71.0;105.0;130.0;22.93;77.07;0;0.0
Nov;7222;2.0;183.0;107.32;36.9;775041.0;78.0;117.0;137.0;24.39;75.61;0;0.0
Dec;5912;1.0;187.0;97.47;44.86;576254.0;60.0;99.0;137.0;22.15;77.85;0;0.0
