Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;;;;;;;;;;;;;
Fev;951.0;31.0;543.0;349.91;138.3;332764.0;236.0;389.0;481.5;47.61;52.39;0.0;0.0
Mars;;;;;;;;;;;;;
Avril;946.0;52.0;519.0;340.59;138.12;322202.0;213.0;364.0;471.0;46.34;53.66;0.0;0.0
Mai;8587.0;7.0;558.0;378.49;128.99;3250064.0;273.0;409.0;495.0;51.49;48.51;0.0;0.0
Juin;3405.0;37.0;537.0;384.32;119.03;1308606.0;284.0;398.0;501.0;52.29;47.71;0.0;0.0
Juil;5604.0;108.0;630.0;447.63;117.06;2508538.0;347.0;466.0;561.0;60.9;39.1;0.0;0.0
Aout;7835.0;12.0;593.0;393.78;130.97;3085251.0;285.5;408.0;521.0;53.58;46.42;0.0;0.0
Sept;3974.0;40.0;550.0;384.59;122.82;1528368.0;280.0;402.0;504.0;52.33;47.67;0.0;0.0
Oct;5232.0;8.0;554.0;372.62;138.76;1949550.0;272.0;395.0;499.0;50.7;49.3;0.0;0.0
Nov;8208.0;9.0;612.0;356.08;140.06;2922704.0;251.75;363.0;486.0;48.45;51.55;0.0;0.0
Dec;7660.0;6.0;592.0;355.86;159.71;2725905.0;221.0;372.5;510.0;48.42;51.58;0.0;0.0
