Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;5692;0.0;310.0;233.32;67.41;1328072.0;205.0;253.0;280.0;75.27;24.730000000000004;18;0.31623330990864373
Fev;5722;0.0;310.0;244.26;61.59;1397638.0;224.0;261.0;288.0;78.79;21.209999999999994;15;0.26214610276127226
Mars;3764;0.0;310.0;217.81;76.47;819851.0;192.0;234.0;276.0;70.26;29.739999999999995;28;0.7438894792773645
Avril;945;0.0;285.0;182.06;71.26;172047.0;117.0;186.0;242.0;58.73;41.27;2;0.21164021164021166
Mai;8577;0.0;310.0;215.63;70.63;1849419.0;166.0;224.0;276.0;69.56;30.439999999999998;14;0.16322723563017372
Juin;3420;0.0;300.0;222.5;71.26;760951.0;189.0;237.0;279.25;71.77;28.230000000000004;1;0.029239766081871347
Juil;4395;2.0;310.0;250.78;53.53;1102199.0;230.0;256.0;295.0;80.9;19.099999999999994;0;0.0
Aout;6444;105.0;310.0;255.06;40.31;1643598.0;231.0;260.0;288.0;82.28;17.72;0;0.0
Sept;3699;77.0;310.0;242.65;53.6;897571.0;219.0;257.0;283.0;78.27;21.730000000000004;0;0.0
Oct;4839;0.0;310.0;227.69;72.26;1101807.0;181.0;244.0;291.0;73.45;26.549999999999997;5;0.10332713370531102
Nov;7454;0.0;310.0;223.57;72.29;1666469.0;182.0;242.0;283.0;72.12;27.879999999999995;6;0.08049369466058491
Dec;7396;0.0;310.0;232.48;73.1;1719396.0;201.0;250.0;290.0;74.99;25.010000000000005;5;0.06760411032990805
