Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7636;120.0;497.0;407.18;89.04;3109227.0;323.75;460.0;469.0;68.9;31.099999999999994;0;0.0
Fev;8053;176.0;498.0;413.43;90.7;3329321.0;329.0;465.0;482.0;69.95;30.049999999999997;0;0.0
Mars;4181;115.0;497.0;405.87;104.67;1696955.0;331.0;465.0;478.0;68.68;31.319999999999993;0;0.0
Avril;945;323.0;493.0;463.1;43.83;437631.0;457.0;484.0;486.0;78.36;21.64;0;0.0
Mai;8632;181.0;503.0;425.16;93.62;3669950.0;375.0;479.0;490.0;71.94;28.060000000000002;0;0.0
Juin;3418;183.0;502.0;423.02;100.29;1445876.0;358.25;483.0;490.0;71.58;28.42;0;0.0
Juil;5626;252.0;511.0;445.57;75.69;2506753.0;406.0;488.0;497.0;75.39;24.61;0;0.0
Aout;7864;239.0;518.0;448.53;61.2;3527272.0;411.0;478.0;488.0;75.89;24.11;0;0.0
Sept;3988;184.0;509.0;420.62;92.32;1677442.0;350.0;473.0;485.0;71.17;28.83;0;0.0
Oct;5340;155.0;490.0;415.07;92.17;2216474.0;352.0;469.0;477.0;70.23;29.769999999999996;0;0.0
Nov;8621;155.0;496.0;412.36;98.19;3554962.0;339.0;468.0;480.0;69.77;30.230000000000004;0;0.0
Dec;8623;150.0;496.0;417.07;93.44;3596385.0;382.0;469.0;478.0;70.57;29.430000000000007;0;0.0
