Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7573;6.0;328.0;203.77;84.89;1543122.0;135.0;221.0;281.0;31.54;68.46000000000001;0;0.0
Fev;7846;0.0;316.0;186.82;85.15;1465803.0;116.0;207.0;263.0;28.92;71.08;3;0.038236043843996946
Mars;3974;1.0;287.0;170.28;77.17;676707.0;105.0;186.0;240.0;26.36;73.64;0;0.0
Avril;911;0.0;308.0;190.36;95.4;173414.0;103.0;211.0;282.0;29.47;70.53;1;0.10976948408342481
Mai;8615;2.0;335.0;212.57;83.84;1831310.0;148.0;235.0;287.0;32.91;67.09;0;0.0
Juin;3412;14.0;371.0;203.92;87.89;695783.0;129.0;212.0;282.0;31.57;68.43;0;0.0
Juil;5593;49.0;379.0;230.47;77.67;1289006.0;163.0;241.0;297.0;35.68;64.32;0;0.0
Aout;6989;19.0;343.0;220.06;81.51;1537997.0;154.0;234.0;294.0;34.06;65.94;0;0.0
Sept;3983;8.0;314.0;204.45;80.8;814343.0;148.0;211.0;282.0;31.65;68.35;0;0.0
Oct;5286;1.0;342.0;210.86;92.65;1114617.0;139.0;221.0;297.0;32.64;67.36;0;0.0
Nov;8084;1.0;390.0;243.4;89.58;1967632.0;180.0;264.0;315.0;37.68;62.32;0;0.0
Dec;8589;1.0;426.0;214.92;108.77;1845939.0;120.0;221.0;309.0;33.27;66.72999999999999;0;0.0
