Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7618;70.0;434.0;348.8;80.24;2657144.0;327.0;368.0;402.0;77.17;22.83;0;0.0
Fev;7717;93.0;434.0;316.15;81.53;2439706.0;299.0;348.0;366.0;69.94;30.060000000000002;0;0.0
Mars;4161;79.0;228.0;172.44;27.05;717535.0;155.0;178.0;194.0;38.15;61.85;0;0.0
Avril;943;7.0;199.0;119.76;44.74;112933.0;92.0;120.0;151.0;26.5;73.5;0;0.0
Mai;8616;60.0;281.0;194.21;39.29;1673332.0;174.0;201.0;217.0;42.97;57.03;0;0.0
Juin;3415;0.0;405.0;219.62;82.16;750009.0;163.0;202.0;250.0;48.59;51.41;1;0.029282576866764276
Juil;5613;141.0;288.0;222.5;26.09;1248899.0;206.0;224.0;238.0;49.23;50.77;0;0.0
Aout;7850;137.0;284.0;224.72;23.59;1764087.0;211.0;227.0;242.0;49.72;50.28;0;0.0
Sept;3984;112.0;270.0;189.91;27.51;756621.0;169.0;193.0;210.0;42.02;57.98;0;0.0
Oct;5343;95.0;254.0;198.21;24.47;1059043.0;181.0;201.0;216.0;43.85;56.15;0;0.0
Nov;7627;45.0;264.0;192.23;32.28;1466141.0;174.0;201.0;216.0;42.53;57.47;0;0.0
Dec;8626;66.0;269.0;190.49;34.45;1643208.0;165.0;197.0;213.0;42.14;57.86;0;0.0
