Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;3882.0;167.0;508.0;334.19;66.09;1297330.0;294.0;337.0;383.0;50.94;49.06;0.0;0.0
Fev;1608.0;142.0;486.0;325.89;78.88;524027.0;281.0;333.0;377.0;49.68;50.32;0.0;0.0
Mars;;;;;;;;;;;;;
Avril;;;;;;;;;;;;;
Mai;;;;;;;;;;;;;
Juin;61.0;190.0;278.0;244.23;23.45;14898.0;229.0;243.0;266.0;37.23;62.77;0.0;0.0
Juil;5628.0;189.0;487.0;374.18;56.53;2105883.0;342.0;385.0;415.0;57.04;42.96;0.0;0.0
Aout;7866.0;95.0;508.0;397.69;48.23;3128209.0;369.0;406.0;433.0;60.62;39.38;0.0;0.0
Sept;3992.0;95.0;474.0;316.86;76.08;1264891.0;263.0;328.0;371.0;48.3;51.7;0.0;0.0
Oct;5343.0;95.0;484.0;293.81;73.68;1569825.0;237.0;303.0;346.0;44.79;55.21;0.0;0.0
Nov;8628.0;95.0;476.0;291.29;79.24;2513239.0;225.0;297.0;354.0;44.4;55.6;0.0;0.0
Dec;8634.0;95.0;513.0;339.34;93.04;2929897.0;261.0;341.0;420.0;51.73;48.27;0.0;0.0
