Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7067;0.0;317.0;213.11;80.84;1506070.0;137.0;241.0;286.0;49.1;50.9;1;0.014150275930380644
Fev;7051;0.0;327.0;212.79;79.13;1500366.0;142.0;242.0;283.0;49.03;50.97;1;0.014182385477237271
Mars;4002;0.0;316.0;212.21;83.65;849264.0;132.0;250.0;284.0;48.9;51.1;3;0.07496251874062969
Avril;946;46.0;239.0;163.8;53.26;154959.0;120.25;173.0;211.0;37.74;62.26;0;0.0
Mai;8237;0.0;341.0;225.25;75.61;1855416.0;171.0;247.0;287.0;51.9;48.1;3;0.036421027072963456
Juin;3137;52.0;331.0;225.86;75.36;708534.0;163.0;254.0;284.0;52.04;47.96;0;0.0
Juil;5051;38.0;341.0;247.46;68.53;1249912.0;204.0;271.0;301.0;57.02;42.98;0;0.0
Aout;7387;49.0;360.0;249.54;59.84;1843317.0;210.0;264.0;292.0;57.5;42.5;0;0.0
Sept;3467;33.0;335.0;236.97;74.56;821588.0;172.0;266.0;294.0;54.6;45.4;0;0.0
Oct;5024;53.0;340.0;239.9;73.31;1205278.0;179.0;265.0;301.0;55.28;44.72;0;0.0
Nov;8292;0.0;349.0;237.02;80.15;1965338.0;170.0;265.0;300.0;54.61;45.39;20;0.241196333815726
Dec;7764;0.0;367.0;242.27;89.82;1881022.0;178.0;276.0;313.0;55.82;44.18;22;0.28335909325090164
