Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7508;180.0;453.0;373.59;62.67;2804926.0;317.0;388.0;430.0;63.64;36.36;0;0.0
Fev;8014;156.0;449.0;362.72;65.5;2906822.0;312.0;381.0;420.0;61.79;38.21;0;0.0
Mars;4133;187.0;458.0;375.59;65.0;1552331.0;329.0;396.0;434.0;63.99;36.01;0;0.0
Avril;936;267.0;446.0;378.48;45.25;354253.0;344.0;393.5;417.0;64.48;35.519999999999996;0;0.0
Mai;8598;166.0;449.0;352.27;66.73;3028844.0;304.0;372.0;409.0;60.01;39.99;0;0.0
Juin;3388;0.0;430.0;334.47;76.86;1133181.0;267.0;356.0;401.0;56.98;43.02;3;0.0885478158205431
Juil;5584;196.0;477.0;379.03;63.08;2116492.0;331.0;399.0;434.0;64.57;35.43000000000001;0;0.0
Aout;7836;160.0;472.0;394.27;56.31;3089461.0;361.0;408.0;439.0;67.17;32.83;0;0.0
Sept;3965;159.0;435.0;342.04;75.2;1356196.0;276.0;360.0;413.0;58.27;41.73;0;0.0
Oct;5319;125.0;434.0;330.52;75.41;1758011.0;272.0;339.0;404.0;56.31;43.69;0;0.0
Nov;8553;0.0;436.0;299.08;93.46;2558011.0;232.0;321.0;368.0;50.95;49.05;46;0.5378229860867532
Dec;8536;0.0;493.0;295.08;114.56;2518770.0;195.0;325.0;393.0;50.27;49.73;43;0.5037488284910965
