Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;2298;875.0;1200.0;1066.97;73.97;2451901.0;1022.0;1067.0;1120.0;88.91;11.090000000000003;0;0.0
Fev;1858;989.0;1200.0;1112.49;54.39;2067015.0;1068.0;1120.5;1157.0;92.71;7.290000000000006;0;0.0
Mars;688;1093.0;1200.0;1155.23;26.96;794799.0;1134.0;1158.0;1176.0;96.27;3.730000000000004;0;0.0
Avril;945;854.0;1173.0;1085.22;82.24;1025536.0;1053.0;1100.0;1156.0;90.44;9.560000000000002;0;0.0
Mai;8617;505.0;1185.0;1048.97;134.0;9038936.0;965.0;1106.0;1151.0;87.41;12.590000000000003;0;0.0
Juin;3413;719.0;1194.0;1031.35;131.8;3520008.0;923.0;1081.0;1145.0;85.95;14.049999999999997;0;0.0
Juil;5620;544.0;1182.0;928.14;155.49;5216172.0;833.0;935.0;1023.0;77.35;22.650000000000006;0;0.0
Aout;7863;148.0;1199.0;1059.09;131.37;8327590.0;981.0;1096.0;1171.0;88.26;11.739999999999995;0;0.0
Sept;3985;726.0;1185.0;1046.07;144.5;4168606.0;932.0;1110.0;1168.0;87.17;12.829999999999998;0;0.0
Oct;5250;700.0;1184.0;1033.29;151.66;5424783.0;923.0;1095.0;1161.0;86.11;13.89;0;0.0
Nov;8463;665.0;1190.0;1016.29;156.55;8600852.0;885.0;1082.0;1147.0;84.69;15.310000000000002;0;0.0
Dec;8583;698.0;1183.0;1040.99;138.87;8934787.0;942.0;1093.0;1160.0;86.75;13.25;0;0.0
