Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7624;188.0;297.0;265.42;29.66;2023568.0;242.0;282.0;287.0;67.2;32.8;0;0.0
Fev;8048;159.0;290.0;256.05;33.42;2060665.0;228.0;274.0;281.0;64.82;35.18000000000001;0;0.0
Mars;4171;142.0;278.0;246.34;37.69;1027503.0;227.0;268.0;273.0;62.37;37.63;0;0.0
Avril;944;123.0;188.0;173.27;18.03;163568.0;168.0;182.0;185.0;43.87;56.13;0;0.0
Mai;7753;96.0;395.0;303.1;94.29;2349916.0;185.0;359.0;381.0;76.73;23.269999999999996;0;0.0
Juin;3418;242.0;375.0;339.37;43.9;1159960.0;311.0;365.0;371.0;85.92;14.079999999999998;0;0.0
Juil;5618;278.0;391.0;344.42;26.13;1934975.0;329.0;354.0;358.0;87.2;12.799999999999997;0;0.0
Aout;7859;303.0;391.0;368.99;20.17;2899871.0;355.0;379.0;383.0;93.41;6.590000000000003;0;0.0
Sept;3983;276.0;385.0;354.88;33.56;1413489.0;327.0;374.0;380.0;89.84;10.159999999999997;0;0.0
Oct;5336;278.0;388.0;360.13;30.58;1921667.0;336.0;378.0;381.0;91.17;8.829999999999998;0;0.0
Nov;8625;265.0;382.0;351.5;34.51;3031711.0;329.0;372.0;377.0;88.99;11.010000000000005;0;0.0
Dec;8625;268.0;379.0;350.68;28.8;3024625.0;340.0;365.0;371.0;88.78;11.219999999999999;0;0.0
