Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7614;105.0;350.0;281.84;76.67;2145931.0;206.0;326.0;344.0;80.53;19.47;0;0.0
Fev;8045;34.0;350.0;272.89;76.85;2195389.0;212.0;310.0;337.0;77.97;22.03;0;0.0
Mars;4173;95.0;350.0;290.06;68.02;1210403.0;231.0;327.0;347.0;82.87;17.129999999999995;0;0.0
Avril;946;219.0;350.0;315.82;39.79;298763.0;293.0;336.0;347.0;90.23;9.769999999999996;0;0.0
Mai;8614;36.0;350.0;291.02;69.57;2506823.0;243.0;328.0;345.0;83.15;16.849999999999994;0;0.0
Juin;3413;99.0;350.0;275.91;69.02;941667.0;203.0;309.0;332.0;78.83;21.17;0;0.0
Juil;5616;195.0;350.0;303.46;49.05;1704204.0;255.0;328.0;344.0;86.7;13.299999999999997;0;0.0
Aout;7860;22.0;350.0;300.81;62.47;2364329.0;267.0;329.0;345.0;85.94;14.060000000000002;0;0.0
Sept;3981;55.0;350.0;240.91;84.55;959068.0;160.0;267.0;319.0;68.83;31.17;0;0.0
Oct;5328;64.0;350.0;278.28;76.45;1482661.0;213.0;316.0;343.0;79.51;20.489999999999995;0;0.0
Nov;8614;25.0;350.0;266.14;83.21;2292541.0;188.0;306.0;338.0;76.04;23.959999999999994;0;0.0
Dec;8616;0.0;350.0;242.27;93.03;2087429.0;155.0;252.0;336.0;69.22;30.78;2;0.02321262766945218
