Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;3788;36.0;220.0;143.0;51.73;541692.0;97.0;149.0;191.0;65.0;35.0;0;0.0
Fev;4520;36.0;220.0;146.31;50.86;661327.0;100.0;148.0;197.0;66.51;33.489999999999995;0;0.0
Mars;2187;38.0;220.0;134.78;54.3;294770.0;88.0;130.0;186.5;61.26;38.74;0;0.0
Avril;945;59.0;209.0;165.45;39.75;156347.0;145.0;178.0;197.0;75.2;24.799999999999997;0;0.0
Mai;5761;0.0;220.0;148.75;61.93;856932.0;95.0;171.0;205.0;67.61;32.39;3;0.05207429265752474
Juin;2706;13.0;220.0;150.29;59.13;406691.0;96.0;171.0;201.0;68.31;31.689999999999998;0;0.0
Juil;4019;0.0;220.0;119.2;58.81;479057.0;74.0;128.0;168.0;54.18;45.82;3;0.07464543418760886
Aout;4475;1.0;220.0;157.06;44.43;702865.0;135.0;161.0;189.0;71.39;28.61;0;0.0
Sept;3167;0.0;220.0;133.67;57.83;423343.0;93.0;153.0;179.0;60.76;39.24;3;0.0947268708556994
Oct;5326;1.0;219.0;141.48;60.09;753506.0;91.0;166.0;189.0;64.31;35.69;0;0.0
Nov;8611;0.0;220.0;144.45;63.92;1243893.0;85.0;172.0;196.0;65.66;34.34;13;0.150969689931483
Dec;8622;2.0;220.0;147.54;56.03;1272129.0;106.0;168.0;191.0;67.07;32.93000000000001;0;0.0
