Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7489;91.0;372.0;253.04;58.79;1895027.0;236.0;251.0;301.0;68.02;31.980000000000004;0;0.0
Fev;7832;127.0;327.0;264.91;48.99;2074808.0;236.0;268.0;314.0;71.21;28.790000000000006;0;0.0
Mars;4089;129.0;332.0;278.59;55.02;1139173.0;243.0;308.0;321.0;74.89;25.11;0;0.0
Avril;860;259.0;371.0;351.33;29.31;302147.0;349.0;364.0;369.0;94.44;5.560000000000002;0;0.0
Mai;8594;198.0;372.0;327.07;47.04;2810872.0;292.0;354.0;361.0;87.92;12.079999999999998;0;0.0
Juin;3400;204.0;357.0;310.11;46.16;1054358.0;271.75;333.0;347.0;83.36;16.64;0;0.0
Juil;5617;215.0;338.0;305.38;33.0;1715317.0;282.0;322.0;328.0;82.09;17.909999999999997;0;0.0
Aout;7854;226.0;343.0;314.31;27.5;2468629.0;294.0;329.0;334.0;84.49;15.510000000000005;0;0.0
Sept;3981;154.0;334.0;283.83;55.9;1129923.0;238.0;315.0;326.0;76.3;23.700000000000003;0;0.0
Oct;5330;79.0;260.0;205.67;55.6;1096233.0;166.0;238.0;247.0;55.29;44.71;0;0.0
Nov;8612;2.0;247.0;184.93;63.85;1592617.0;131.0;219.0;236.0;49.71;50.29;0;0.0
Dec;8618;31.0;232.0;166.9;47.73;1438313.0;131.0;179.0;206.0;44.86;55.14;0;0.0
