Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;6431;18.0;285.0;114.41;90.44;735790.0;18.0;122.0;181.0;40.14;59.86;0;0.0
Fev;7802;215.0;285.0;265.53;16.44;2071703.0;253.0;273.0;277.0;93.17;6.829999999999998;0;0.0
Mars;4117;200.0;274.0;259.15;18.57;1066932.0;248.0;269.0;273.0;90.93;9.069999999999993;0;0.0
Avril;877;18.0;82.0;26.84;15.8;23536.0;18.0;18.0;29.0;9.42;90.58;0;0.0
Mai;8611;18.0;285.0;259.8;59.31;2237126.0;263.0;278.0;283.0;91.16;8.840000000000003;0;0.0
Juin;3325;213.0;285.0;265.55;21.35;882964.0;249.0;276.0;283.0;93.18;6.819999999999993;0;0.0
Juil;5611;210.0;274.0;256.86;16.15;1441230.0;246.0;264.0;268.0;90.13;9.870000000000005;0;0.0
Aout;7860;189.0;271.0;245.46;15.28;1929306.0;237.0;248.0;253.0;86.13;13.870000000000005;0;0.0
Sept;3986;182.0;255.0;231.35;20.35;922174.0;214.0;241.0;247.0;81.18;18.819999999999993;0;0.0
Oct;5337;166.0;253.0;231.64;24.31;1236250.0;212.0;246.0;251.0;81.28;18.72;0;0.0
Nov;8614;37.0;252.0;159.99;52.67;1378155.0;127.0;154.0;192.0;56.14;43.86;0;0.0
Dec;8607;49.0;150.0;119.51;23.94;1028624.0;102.0;131.0;137.0;41.93;58.07;0;0.0
