Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7611;90.0;232.0;190.98;35.96;1453556.0;171.5;207.0;215.0;74.89;25.11;0;0.0
Fev;8033;85.0;205.0;169.01;32.4;1357695.0;143.0;187.0;194.0;66.28;33.72;0;0.0
Mars;4146;52.0;189.0;155.49;32.44;644645.0;142.0;163.0;183.0;60.97;39.03;0;0.0
Avril;942;190.0;250.0;237.74;16.35;223949.0;232.0;245.5;248.0;93.23;6.769999999999996;0;0.0
Mai;8602;168.0;255.0;236.17;25.04;2031546.0;226.0;250.0;254.0;92.62;7.3799999999999955;0;0.0
Juin;3405;157.0;255.0;232.95;23.64;793200.0;218.0;241.0;254.0;91.35;8.650000000000006;0;0.0
Juil;5614;215.0;255.0;244.79;11.69;1374253.0;235.0;252.0;254.0;96.0;4.0;0;0.0
Aout;7852;190.0;254.0;238.53;11.48;1872931.0;231.0;244.0;246.0;93.54;6.459999999999994;0;0.0
Sept;3979;118.0;230.0;204.89;28.43;815246.0;188.5;220.0;225.0;80.35;19.650000000000006;0;0.0
Oct;5325;90.0;217.0;187.43;35.52;998072.0;162.0;208.0;214.0;73.5;26.5;0;0.0
Nov;8614;56.0;214.0;176.97;36.86;1524387.0;148.0;196.0;206.0;69.4;30.599999999999994;0;0.0
Dec;8621;81.0;184.0;158.0;29.03;1362075.0;144.0;173.0;179.0;61.96;38.04;0;0.0
