Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7593;64.0;601.0;458.73;137.47;3483149.0;362.0;513.0;566.0;74.59;25.409999999999997;0;0.0
Fev;7514;180.0;615.0;471.06;130.32;3539544.0;354.0;516.0;587.0;76.6;23.400000000000006;0;0.0
Mars;4140;22.0;523.0;405.96;124.14;1680688.0;337.0;458.0;504.0;66.01;33.989999999999995;0;0.0
Avril;923;312.0;569.0;515.49;73.17;475801.0;491.5;552.0;562.0;83.82;16.180000000000007;0;0.0
Mai;8606;154.0;588.0;461.9;115.16;3975146.0;401.0;509.0;547.0;75.11;24.89;0;0.0
Juin;3380;284.0;573.0;489.29;86.49;1653803.0;425.75;535.0;555.0;79.56;20.439999999999998;0;0.0
Juil;5617;375.0;613.0;560.12;55.72;3146205.0;518.0;590.0;601.0;91.08;8.920000000000002;0;0.0
Aout;7850;382.0;608.0;566.34;45.31;4445752.0;536.0;589.0;601.0;92.09;7.909999999999997;0;0.0
Sept;3989;196.0;594.0;491.49;118.89;1960557.0;415.0;555.0;577.0;79.92;20.08;0;0.0
Oct;5300;24.0;471.0;334.08;136.36;1770613.0;228.0;404.0;436.0;54.32;45.68;0;0.0
Nov;8606;7.0;503.0;334.47;144.12;2878475.0;225.0;403.0;447.0;54.39;45.61;0;0.0
Dec;8616;14.0;556.0;381.65;130.66;3288305.0;315.75;425.0;485.0;62.06;37.94;0;0.0
