Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;5473;3.0;75.0;58.89;15.45;322280.0;49.0;66.0;70.0;78.51;21.489999999999995;0;0.0
Fev;7141;12.0;75.0;59.43;13.43;424420.0;53.0;65.0;68.0;79.25;20.75;0;0.0
Mars;3589;23.0;75.0;62.06;12.4;222734.0;54.0;69.0;71.0;82.75;17.25;0;0.0
Avril;623;28.0;75.0;68.91;8.19;42928.0;70.0;72.0;72.0;91.87;8.129999999999995;0;0.0
Mai;2280;26.0;75.0;61.06;10.65;139213.0;54.0;65.0;69.0;81.41;18.590000000000003;0;0.0
Juin;2656;13.0;75.0;60.41;11.79;160461.0;54.0;65.0;69.0;80.55;19.450000000000003;0;0.0
Juil;3549;26.0;75.0;61.45;11.13;218089.0;54.0;66.0;70.0;81.93;18.069999999999993;0;0.0
Aout;6404;27.0;75.0;64.1;8.72;410524.0;60.0;66.0;71.0;85.47;14.530000000000001;0;0.0
Sept;3987;12.0;73.0;47.47;13.23;189275.0;39.0;48.0;58.0;63.3;36.7;0;0.0
Oct;5333;18.0;67.0;50.14;11.2;267414.0;41.0;54.0;58.0;66.86;33.14;0;0.0
Nov;8612;12.0;72.0;52.46;13.95;451751.0;44.0;56.0;64.0;69.94;30.060000000000002;0;0.0
Dec;8446;9.0;70.0;46.16;13.6;389841.0;38.0;48.0;57.0;61.54;38.46;0;0.0
