Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7585;160.0;260.0;236.52;23.69;1793973.0;224.0;246.0;255.0;90.97;9.030000000000001;0;0.0
Fev;7959;60.0;260.0;203.69;51.17;1621185.0;188.0;222.0;243.0;78.34;21.659999999999997;0;0.0
Mars;4146;43.0;129.0;101.44;20.91;420558.0;91.0;110.0;116.0;39.01;60.99;0;0.0
Avril;906;152.0;192.0;183.3;9.85;166074.0;181.0;188.0;190.0;70.5;29.5;0;0.0
Mai;8614;6.0;189.0;131.78;32.92;1135162.0;121.0;132.0;153.0;50.69;49.31;0;0.0
Juin;3415;6.0;192.0;113.42;56.77;387339.0;61.0;115.0;179.0;43.62;56.38;0;0.0
Juil;5621;34.0;196.0;127.16;20.05;714780.0;114.0;132.0;140.0;48.91;51.09;0;0.0
Aout;7863;63.0;217.0;150.24;18.06;1181359.0;141.0;155.0;164.0;57.79;42.21;0;0.0
Sept;3991;66.0;220.0;151.8;42.73;605851.0;130.0;139.0;202.0;58.39;41.61;0;0.0
Oct;5327;20.0;204.0;164.54;33.0;876529.0;153.0;177.0;185.0;63.29;36.71;0;0.0
Nov;8605;19.0;241.0;132.94;30.07;1143940.0;115.0;134.0;156.0;51.13;48.87;0;0.0
Dec;8601;120.0;247.0;198.5;33.35;1707314.0;181.0;208.0;226.0;76.35;23.650000000000006;0;0.0
