Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;7334;394.0;1750.0;1418.21;328.81;10401181.0;1151.0;1567.0;1705.0;74.21;25.790000000000006;0;0.0
Fev;7743;481.0;1754.0;1451.65;292.71;11240091.0;1195.0;1586.0;1709.0;75.96;24.040000000000006;0;0.0
Mars;3999;689.0;1737.0;1438.84;293.87;5753920.0;1162.0;1582.0;1703.0;75.29;24.709999999999994;0;0.0
Avril;947;599.0;1730.0;1419.05;320.13;1343837.0;1189.5;1606.0;1676.0;74.26;25.739999999999995;0;0.0
Mai;8611;396.0;1731.0;1429.78;308.0;12311851.0;1167.0;1598.0;1682.0;74.82;25.180000000000007;0;0.0
Juin;3194;641.0;1731.0;1369.86;268.0;4375331.0;1165.0;1457.0;1572.0;71.68;28.319999999999993;0;0.0
Juil;5491;964.0;1515.0;1366.45;153.62;7503168.0;1216.0;1449.0;1496.0;71.5;28.5;0;0.0
Aout;7835;754.0;1712.0;1387.33;191.99;10869768.0;1216.0;1465.0;1504.0;72.6;27.400000000000006;0;0.0
Sept;3779;543.0;1713.0;1426.43;284.71;5390474.0;1193.5;1536.0;1680.0;74.64;25.36;0;0.0
Oct;5155;415.0;1724.0;1373.5;308.87;7080399.0;1117.0;1463.0;1656.0;71.87;28.129999999999995;0;0.0
Nov;8291;361.0;1717.0;1348.58;356.4;11181045.0;1052.0;1506.0;1664.0;70.57;29.430000000000007;0;0.0
Dec;8207;354.0;1723.0;1275.42;425.84;10467335.0;866.0;1449.0;1670.0;66.74;33.260000000000005;0;0.0
