hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14370;0.0;12.0;4.7;3.4;68198.0;2.0;4.0;7.0;39.55;60.45;1002;6.97286012526096
1;14398;0.0;12.0;4.2;3.3;61031.0;1.0;3.0;6.0;35.32;64.68;1404;9.751354354771497
2;14462;0.0;12.0;3.8;3.2;54516.0;1.0;3.0;6.0;31.41;68.59;2156;14.908034849951598
3;14368;0.0;12.0;3.4;3.0;49347.0;1.0;3.0;5.0;28.62;71.38;2368;16.481069042316257
4;14395;0.0;12.0;3.1;2.9;44374.0;1.0;2.0;5.0;25.69;74.31;2485;17.262938520319558
5;14415;0.0;12.0;3.1;2.9;45335.0;1.0;2.0;5.0;26.21;73.78999999999999;2316;16.06659729448491
6;14453;0.0;12.0;3.5;2.9;50739.0;1.0;3.0;5.0;29.26;70.74;1920;13.284439216771604
7;14397;0.0;12.0;3.9;2.9;55560.0;2.0;3.0;6.0;32.16;67.84;1476;10.252135861637841
8;14322;0.0;12.0;4.5;2.9;64265.0;2.0;4.0;7.0;37.39;62.61;962;6.71693897500349
9;14283;0.0;12.0;4.8;2.8;68128.0;3.0;5.0;7.0;39.75;60.25;824;5.76909612826437
10;14496;0.0;12.0;4.9;2.7;70894.0;3.0;5.0;7.0;40.75;59.25;738;5.091059602649007
11;14588;0.0;12.0;5.0;2.7;72579.0;3.0;5.0;7.0;41.46;58.54;489;3.352070194680559
12;14569;0.0;12.0;4.9;2.8;71157.0;3.0;5.0;7.0;40.7;59.3;716;4.914544580959572
13;14520;0.0;12.0;5.0;2.9;72805.0;3.0;5.0;7.0;41.78;58.22;681;4.690082644628099
14;14498;0.0;12.0;4.7;2.9;67945.0;2.0;4.0;7.0;39.05;60.95;847;5.842185128983308
15;14418;0.0;12.0;4.6;3.0;66547.0;2.0;4.0;7.0;38.46;61.54;802;5.562491330281592
16;14400;0.0;12.0;4.8;3.1;68954.0;2.0;4.0;7.0;39.9;60.1;628;4.361111111111112
17;14449;0.0;12.0;4.9;3.2;70365.0;2.0;4.0;7.0;40.58;59.42;390;2.699148730015918
18;14446;0.0;12.0;5.0;3.2;72622.0;3.0;4.0;7.0;41.89;58.11;342;2.3674373529004566
19;14460;0.0;12.0;5.2;3.2;75483.0;3.0;5.0;8.0;43.5;56.5;565;3.9073305670816043
20;14514;0.0;12.0;5.3;3.3;76440.0;3.0;5.0;8.0;43.89;56.11;654;4.505994212484498
21;14510;0.0;12.0;5.2;3.3;75518.0;2.0;5.0;8.0;43.37;56.63;709;4.886285320468643
22;14506;0.0;12.0;5.2;3.4;74885.0;2.0;5.0;8.0;43.02;56.98;768;5.2943609540879635
23;14462;0.0;12.0;4.9;3.5;70695.0;2.0;4.0;8.0;40.74;59.26;1022;7.066795740561471
