hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14310;0.0;20.0;8.2;4.9;117446.0;4.0;8.0;12.0;41.04;58.96;589;4.116002795248078
1;14396;0.0;20.0;7.3;4.9;105086.0;3.0;7.0;11.0;36.5;63.5;890;6.182272853570437
2;14462;0.0;20.0;6.6;4.8;95629.0;2.0;6.0;10.0;33.06;66.94;1006;6.956160973585949
3;14368;0.0;20.0;6.2;4.6;88825.0;2.0;5.0;10.0;30.91;69.09;1009;7.022550111358575
4;14395;0.0;19.0;5.9;4.5;84631.0;2.0;5.0;9.0;29.4;70.6;974;6.766238277179576
5;14415;0.0;19.0;5.7;4.5;82873.0;2.0;5.0;9.0;28.75;71.25;892;6.187998612556365
6;14453;0.0;19.0;5.8;4.5;83136.0;2.0;5.0;9.0;28.76;71.24;779;5.389884453054729
7;14396;0.0;19.0;6.4;4.8;92227.0;2.0;6.0;11.0;32.03;67.97;682;4.737427063073076
8;14322;0.0;19.0;8.3;4.9;118807.0;3.0;9.0;12.0;41.48;58.52;487;3.4003630777824325
9;14283;0.0;19.0;9.9;4.6;140890.0;7.0;11.0;13.0;49.32;50.68;351;2.4574669187145557
10;14475;0.0;20.0;10.6;4.3;153880.0;8.0;12.0;14.0;53.15;46.85;243;1.6787564766839378
11;14536;0.0;20.0;10.5;4.2;153192.0;8.0;11.0;13.0;52.69;47.31;187;1.286461199779857
12;14569;0.0;20.0;10.4;4.4;150996.0;8.0;11.0;13.0;51.82;48.18;197;1.3521861486718376
13;14520;0.0;20.0;10.0;4.3;145841.0;8.0;11.0;13.0;50.22;49.78;189;1.3016528925619835
14;14458;0.0;20.0;9.7;4.4;139644.0;7.0;10.0;13.0;48.29;51.71;432;2.987965140406695
15;14381;0.0;20.0;9.4;4.5;135036.0;6.0;10.0;13.0;46.95;53.05;519;3.608928447256797
16;14400;0.0;20.0;9.2;4.7;132154.0;6.0;10.0;13.0;45.89;54.11;489;3.3958333333333335
17;14449;0.0;20.0;9.2;4.7;132265.0;6.0;10.0;13.0;45.77;54.23;314;2.1731607723717907
18;14446;0.0;20.0;9.2;4.7;132533.0;5.0;10.0;12.0;45.87;54.13;244;1.689048871659975
19;14460;0.0;20.0;9.1;4.6;131958.0;5.0;9.0;13.0;45.63;54.37;181;1.251728907330567
20;14475;0.0;20.0;9.2;4.6;133670.0;6.0;10.0;13.0;46.17;53.83;232;1.6027633851468048
21;14450;0.0;20.0;9.4;4.7;135347.0;6.0;10.0;13.0;46.83;53.17;275;1.9031141868512111
22;14446;0.0;20.0;9.3;4.8;134705.0;6.0;9.0;13.0;46.62;53.38;296;2.0490101066039044
23;14402;0.0;20.0;8.9;4.8;128691.0;5.0;9.0;12.0;44.68;55.32;505;3.5064574364671572
