hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14370;0.0;16.0;9.6;3.9;138459.0;6.0;10.0;13.0;60.22;39.78;30;0.20876826722338201
1;14398;1.0;16.0;10.1;3.8;145235.0;7.0;10.0;13.0;63.04;36.96;0;0.0
2;14462;1.0;16.0;10.4;3.7;149791.0;8.0;10.0;14.0;64.73;35.269999999999996;0;0.0
3;14368;1.0;16.0;10.6;3.7;151642.0;8.0;10.0;14.0;65.96;34.040000000000006;0;0.0
4;14395;1.0;16.0;10.7;3.8;154168.0;8.0;11.0;14.0;66.94;33.06;0;0.0
5;14415;1.0;16.0;10.8;3.7;155111.0;8.0;11.0;14.0;67.25;32.75;0;0.0
6;14453;1.0;16.0;10.7;3.7;155161.0;8.0;11.0;14.0;67.1;32.900000000000006;0;0.0
7;14396;1.0;16.0;10.6;3.8;152487.0;8.0;10.0;14.0;66.2;33.8;0;0.0
8;14322;1.0;16.0;10.0;3.7;143663.0;8.0;10.0;13.0;62.69;37.31;0;0.0
9;14283;1.0;16.0;9.4;3.7;133580.0;7.0;10.0;12.0;58.45;41.55;0;0.0
10;14496;0.0;16.0;8.8;3.8;127530.0;6.0;9.0;12.0;54.98;45.02;59;0.40700883002207505
11;14588;0.0;16.0;8.4;3.9;121904.0;5.0;8.0;11.0;52.23;47.77;171;1.1721963257471895
12;14569;0.0;16.0;8.2;3.9;119920.0;5.0;8.0;11.0;51.44;48.56;284;1.9493444985929027
13;14520;0.0;16.0;8.1;3.9;117411.0;5.0;8.0;11.0;50.54;49.46;211;1.453168044077135
14;14499;0.0;16.0;7.6;3.8;110334.0;5.0;8.0;10.0;47.56;52.44;170;1.1724946548037796
15;14418;0.0;16.0;7.2;3.9;104434.0;4.0;7.0;10.0;45.27;54.73;181;1.2553752254126784
16;14400;0.0;16.0;7.0;3.8;101466.0;4.0;7.0;10.0;44.04;55.96;223;1.5486111111111112
17;14449;0.0;16.0;7.2;3.8;104470.0;4.0;7.0;10.0;45.19;54.81;267;1.8478787459339747
18;14446;0.0;16.0;7.6;4.0;109262.0;5.0;7.0;10.0;47.27;52.73;297;2.055932438045134
19;14460;0.0;16.0;8.0;4.0;115219.0;5.0;8.0;11.0;49.8;50.2;115;0.7952973720608575
20;14514;0.0;16.0;8.3;4.1;120295.0;5.0;8.0;11.0;51.8;48.2;73;0.5029626567452116
21;14510;0.0;16.0;8.7;4.0;126534.0;6.0;9.0;12.0;54.5;45.5;134;0.9235010337698139
22;14506;0.0;16.0;9.1;4.0;132607.0;6.0;9.0;12.0;57.13;42.87;28;0.19302357645112367
23;14462;0.0;16.0;9.4;4.0;136432.0;6.0;9.0;13.0;58.96;41.04;15;0.10372009403955193
