hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14370;0.0;12.0;7.0;3.4;99934.0;4.0;7.0;10.0;57.95;42.05;175;1.2178148921363952
1;14398;0.0;12.0;6.6;3.5;95302.0;4.0;7.0;10.0;55.16;44.84;353;2.4517294068620643
2;14462;0.0;12.0;6.2;3.6;89790.0;3.0;6.0;9.0;51.74;48.26;664;4.591342829484166
3;14368;0.0;12.0;5.8;3.7;84015.0;3.0;6.0;9.0;48.73;51.27;953;6.632795100222717
4;14395;0.0;12.0;5.6;3.7;80741.0;2.0;5.0;9.0;46.74;53.26;1047;7.273358805140674
5;14415;0.0;12.0;5.5;3.7;79876.0;2.0;5.0;9.0;46.18;53.82;1161;8.05411030176899
6;14454;0.0;12.0;5.4;3.7;77357.0;2.0;5.0;9.0;44.6;55.4;1326;9.17393109173931
7;14396;0.0;12.0;5.4;3.7;77846.0;2.0;5.0;9.0;45.06;54.94;1223;8.495415393164768
8;14322;0.0;12.0;5.4;3.6;77515.0;2.0;5.0;8.0;45.1;54.9;1096;7.652562491272169
9;14283;0.0;12.0;5.3;3.5;75520.0;2.0;5.0;8.0;44.06;55.94;953;6.672267730868866
10;14496;0.0;12.0;5.3;3.4;76569.0;2.0;5.0;8.0;44.02;55.98;728;5.022075055187638
11;14588;0.0;12.0;5.2;3.4;75466.0;2.0;5.0;8.0;43.11;56.89;820;5.621058404167809
12;14569;0.0;12.0;5.3;3.3;77127.0;3.0;5.0;8.0;44.12;55.88;705;4.839041801084495
13;14520;0.0;12.0;5.6;3.3;80922.0;3.0;5.0;8.0;46.44;53.56;657;4.524793388429752
14;14500;0.0;12.0;5.9;3.3;85068.0;3.0;6.0;8.0;48.89;51.11;590;4.068965517241379
15;14418;0.0;12.0;6.0;3.3;86164.0;3.0;6.0;9.0;49.8;50.2;565;3.9187127202108476
16;14400;0.0;12.0;6.0;3.3;86892.0;3.0;6.0;9.0;50.28;49.72;432;3.0
17;14449;0.0;12.0;6.2;3.3;89621.0;4.0;6.0;9.0;51.69;48.31;315;2.1800816665513185
18;14446;0.0;12.0;6.6;3.3;95691.0;4.0;7.0;9.0;55.2;44.8;202;1.39831095112834
19;14460;0.0;12.0;6.9;3.3;99788.0;4.0;7.0;10.0;57.51;42.49;132;0.9128630705394192
20;14514;0.0;12.0;7.3;3.2;105258.0;5.0;7.0;10.0;60.43;39.57;72;0.49607275733774286
21;14510;0.0;12.0;7.4;3.1;107503.0;5.0;8.0;10.0;61.74;38.26;70;0.4824259131633356
22;14506;0.0;12.0;7.3;3.2;105291.0;5.0;7.0;10.0;60.49;39.51;173;1.1926099545015856
23;14462;0.0;12.0;7.1;3.2;102802.0;5.0;7.0;10.0;59.24;40.76;141;0.9749688839717882
