hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;26.0;10.0;5.8;143073.0;6.0;10.0;14.0;36.87;63.13;415;2.8877600723679633
1;14398;0.0;26.0;9.6;5.9;138317.0;5.0;9.0;13.0;35.58;64.42;506;3.5143769968051117
2;14462;0.0;26.0;9.2;5.9;133565.0;4.0;9.0;13.0;34.21;65.78999999999999;481;3.3259576822016323
3;14368;0.0;27.0;8.8;6.0;126899.0;4.0;9.0;13.0;32.71;67.28999999999999;718;4.997216035634744
4;14395;0.0;27.0;8.6;6.1;123742.0;4.0;8.0;13.0;31.84;68.16;742;5.154567558179924
5;14415;0.0;27.0;8.5;6.0;123236.0;4.0;8.0;12.0;31.66;68.34;776;5.383281304197017
6;14453;0.0;26.0;8.4;6.0;121584.0;3.0;8.0;12.0;31.16;68.84;686;4.746419428492354
7;14396;0.0;27.0;8.5;5.9;122179.0;3.0;8.0;12.0;31.43;68.57;494;3.431508752431231
8;14322;0.0;27.0;8.5;5.5;122322.0;4.0;8.0;12.0;31.63;68.37;351;2.450775031420193
9;14283;0.0;27.0;8.8;5.4;125906.0;5.0;8.0;12.0;32.65;67.35;241;1.6873205909122735
10;14496;0.0;26.0;8.8;5.3;127167.0;5.0;8.0;12.0;32.49;67.50999999999999;230;1.586644591611479
11;14588;0.0;26.0;8.8;5.3;127878.0;5.0;8.0;11.0;32.47;67.53;144;0.9871126953660542
12;14569;0.0;27.0;8.8;5.2;128078.0;5.0;8.0;11.0;32.56;67.44;236;1.6198778227743837
13;14520;0.0;26.0;8.9;5.1;128631.0;5.0;8.0;12.0;32.81;67.19;290;1.997245179063361
14;14496;0.0;26.0;8.9;5.3;128848.0;5.0;8.0;12.0;32.92;67.08;225;1.5521523178807946
15;14418;0.0;26.0;8.9;5.5;128968.0;5.0;8.0;12.0;33.13;66.87;476;3.301428769593564
16;14400;0.0;27.0;9.2;5.4;132163.0;5.0;9.0;12.0;33.99;66.00999999999999;235;1.6319444444444446
17;14448;0.0;27.0;9.2;5.3;133244.0;5.0;9.0;12.0;34.16;65.84;207;1.4327242524916943
18;14446;0.0;26.0;9.5;5.3;136712.0;5.25;9.0;13.0;35.05;64.95;222;1.536757579952928
19;14460;0.0;26.0;9.7;5.4;140510.0;6.0;9.0;13.0;35.99;64.00999999999999;285;1.970954356846473
20;14514;0.0;26.0;9.9;5.4;143651.0;6.0;10.0;13.0;36.66;63.34;209;1.4399889761609481
21;14510;0.0;26.0;10.1;5.4;147067.0;6.0;10.0;13.0;37.54;62.46;171;1.1784975878704342
22;14506;0.0;26.0;10.4;5.4;150347.0;6.0;10.0;14.0;38.39;61.61;92;0.6342203226251206
23;14462;0.0;26.0;10.3;5.6;149303.0;6.0;10.0;14.0;38.24;61.76;204;1.410593278937906
