hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;2.1;1.9;29476.0;1.0;2.0;3.0;25.64;74.36;3122;21.72430589381393
1;14398;0.0;8.0;1.8;1.8;25402.0;0.0;1.0;3.0;22.05;77.95;4080;28.337269065147936
2;14462;0.0;7.0;1.6;1.7;23558.0;0.0;1.0;2.0;20.36;79.64;4444;30.72880652745125
3;14368;0.0;7.0;1.5;1.7;22144.0;0.0;1.0;2.0;19.27;80.73;5022;34.952672605790646
4;14395;0.0;7.0;1.5;1.7;21311.0;0.0;1.0;2.0;18.51;81.49;5383;37.394928794720386
5;14415;0.0;7.0;1.5;1.7;21118.0;0.0;1.0;2.0;18.31;81.69;5373;37.27367325702393
6;14454;0.0;7.0;1.5;1.7;21603.0;0.0;1.0;2.0;18.68;81.32;5343;36.96554586965546
7;14396;0.0;7.0;2.3;2.3;33245.0;0.0;2.0;4.0;28.87;71.13;4100;28.48013337038066
8;14322;0.0;8.0;3.9;2.4;56550.0;2.0;5.0;6.0;49.36;50.64;1977;13.803937997486385
9;14283;0.0;8.0;3.9;2.1;55062.0;2.0;4.0;5.0;48.19;51.81;1741;12.189315970034306
10;14496;0.0;8.0;3.8;2.0;55660.0;2.0;4.0;5.0;48.0;52.0;1376;9.492273730684326
11;14588;0.0;8.0;3.8;2.0;55650.0;2.0;4.0;5.0;47.68;52.32;1434;9.829997258020292
12;14569;0.0;8.0;3.8;2.1;54756.0;2.0;4.0;5.0;46.98;53.02;1379;9.465303040702862
13;14520;0.0;8.0;3.6;2.1;52709.0;2.0;4.0;5.0;45.38;54.62;1333;9.180440771349863
14;14500;0.0;8.0;3.4;2.2;49680.0;2.0;3.0;5.0;42.83;57.17;1605;11.068965517241379
15;14418;0.0;8.0;3.3;2.2;47444.0;1.0;3.0;5.0;41.13;58.87;1726;11.971147177139686
16;14400;0.0;8.0;3.1;2.2;44639.0;1.0;3.0;5.0;38.75;61.25;1942;13.48611111111111
17;14449;0.0;8.0;3.0;2.1;43461.0;1.0;3.0;5.0;37.6;62.4;2000;13.84178835905599
18;14446;0.0;8.0;2.9;2.1;41227.0;1.0;3.0;4.0;35.67;64.33;2337;16.17748857815312
19;14460;0.0;8.0;2.7;2.1;38582.0;1.0;2.0;4.0;33.35;66.65;2533;17.51728907330567
20;14514;0.0;8.0;2.7;2.2;39316.0;1.0;2.0;4.0;33.86;66.14;2699;18.59583850075789
21;14510;0.0;8.0;2.7;2.1;39551.0;1.0;2.0;4.0;34.07;65.93;2300;15.851137146795313
22;14506;0.0;8.0;2.7;2.1;38832.0;1.0;2.0;4.0;33.46;66.53999999999999;2064;14.228595064111401
23;14462;0.0;8.0;2.4;2.0;34722.0;1.0;2.0;3.0;30.01;69.99;2290;15.834601023371594
