hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;11.0;3.5;2.7;49636.0;1.0;3.0;5.0;28.78;71.22;2007;13.965625217451812
1;14398;0.0;11.0;2.8;2.5;41000.0;1.0;2.0;4.0;23.73;76.27;2421;16.814835393804696
2;14462;0.0;11.0;2.5;2.4;36522.0;1.0;2.0;4.0;21.04;78.96000000000001;2901;20.059466187249342
3;14368;0.0;12.0;2.4;2.4;34378.0;1.0;2.0;3.0;19.94;80.06;2974;20.698775055679285
4;14395;0.0;12.0;2.4;2.3;34039.0;1.0;2.0;3.0;19.71;80.28999999999999;2838;19.715178881556096
5;14415;0.0;12.0;2.4;2.4;33991.0;1.0;2.0;3.0;19.65;80.35;2943;20.416233090530696
6;14454;0.0;12.0;2.4;2.4;34085.0;1.0;2.0;3.0;19.65;80.35;2944;20.368064203680643
7;14396;0.0;12.0;3.2;2.9;46194.0;1.0;2.0;6.0;26.74;73.26;2435;16.914420672409
8;14322;0.0;12.0;5.2;2.9;74020.0;2.0;6.0;7.0;43.07;56.93;1008;7.038123167155426
9;14283;0.0;12.0;5.5;2.6;78172.0;4.0;6.0;7.0;45.61;54.39;675;4.725897920604915
10;14496;0.0;12.0;5.5;2.6;79289.0;4.0;6.0;7.0;45.58;54.42;549;3.787251655629139
11;14588;0.0;12.0;5.3;2.6;77974.0;4.0;6.0;7.0;44.54;55.46;616;4.222648752399232
12;14569;0.0;12.0;5.1;2.6;74792.0;3.0;5.0;7.0;42.78;57.22;743;5.099869586107488
13;14520;0.0;12.0;5.0;2.6;73217.0;3.0;5.0;7.0;42.02;57.98;642;4.421487603305785
14;14505;0.0;12.0;4.9;2.6;71776.0;3.0;5.0;7.0;41.24;58.76;660;4.550155118924509
15;14418;0.0;12.0;4.7;2.7;67684.0;3.0;5.0;7.0;39.12;60.88;818;5.673463725898182
16;14400;0.0;12.0;4.5;2.7;64764.0;2.0;5.0;6.0;37.48;62.52;873;6.0625
17;14448;0.0;12.0;4.4;2.8;62993.0;2.0;4.0;6.0;36.33;63.67;1053;7.288205980066445
18;14446;0.0;12.0;4.3;2.8;62224.0;2.0;4.0;6.0;35.89;64.11;1241;8.590613318565692
19;14460;0.0;12.0;4.2;2.8;60976.0;2.0;4.0;6.0;35.14;64.86;1214;8.395573997233747
20;14514;0.0;12.0;4.2;2.8;61104.0;2.0;4.0;6.0;35.08;64.92;1120;7.716687336364888
21;14510;0.0;12.0;4.3;2.9;62408.0;2.0;4.0;6.0;35.84;64.16;1293;8.911095796002757
22;14506;0.0;12.0;4.2;2.9;61071.0;2.0;4.0;6.0;35.08;64.92;1338;9.223769474700125
23;14462;0.0;12.0;3.9;2.9;55942.0;2.0;3.0;6.0;32.24;67.75999999999999;1736;12.003872216844142
