hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.6;2.3;52281.0;2.0;3.0;6.0;45.47;54.53;1349;9.386959849697307
1;14398;0.0;8.0;3.3;2.3;47119.0;1.0;3.0;5.0;40.91;59.09;1691;11.744686762050286
2;14462;0.0;8.0;2.8;2.3;40332.0;1.0;2.0;5.0;34.86;65.14;2408;16.65053242981607
3;14368;0.0;8.0;2.3;2.1;33340.0;1.0;2.0;4.0;29.01;70.99;3329;23.169543429844097
4;14395;0.0;8.0;2.1;2.1;29660.0;0.0;2.0;3.0;25.76;74.24;4047;28.11392844737756
5;14415;0.0;8.0;2.1;2.1;29574.0;0.0;1.0;3.0;25.65;74.35;3844;26.666666666666668
6;14454;0.0;8.0;2.1;2.1;31050.0;1.0;2.0;3.0;26.85;73.15;3296;22.803376228033763
7;14396;0.0;8.0;2.2;2.1;32305.0;1.0;2.0;3.0;28.05;71.95;2992;20.78355098638511
8;14322;0.0;8.0;2.4;2.0;34101.0;1.0;2.0;4.0;29.76;70.24;2620;18.293534422566683
9;14283;0.0;8.0;2.7;2.0;38507.0;1.0;2.0;4.0;33.7;66.3;1925;13.477560736539942
10;14496;0.0;8.0;2.8;2.0;40045.0;1.0;3.0;4.0;34.53;65.47;1828;12.61037527593819
11;14588;0.0;8.0;2.8;2.0;41429.0;1.0;3.0;4.0;35.5;64.5;1547;10.60460652591171
12;14569;0.0;8.0;2.9;2.0;41735.0;1.0;3.0;4.0;35.81;64.19;1592;10.927311414647539
13;14520;0.0;8.0;2.9;2.1;42245.0;1.0;3.0;4.0;36.37;63.63;1853;12.761707988980717
14;14496;0.0;8.0;2.9;2.1;41772.0;1.0;3.0;4.0;36.02;63.98;1836;12.665562913907285
15;14418;0.0;8.0;2.9;2.0;41536.0;1.0;3.0;4.0;36.01;63.99;1811;12.560688028852823
16;14400;0.0;8.0;2.9;2.1;42309.0;1.0;3.0;4.0;36.73;63.27;1666;11.569444444444445
17;14448;0.0;8.0;3.1;2.2;45396.0;1.0;3.0;4.0;39.28;60.72;1419;9.821428571428571
18;14446;0.0;8.0;3.3;2.2;48012.0;2.0;3.0;5.0;41.54;58.46;1286;8.902118233421016
19;14460;0.0;8.0;3.6;2.2;52032.0;2.0;3.0;5.0;44.98;55.02;995;6.881051175656985
20;14514;0.0;8.0;3.8;2.2;54743.0;2.0;4.0;5.0;47.15;52.85;906;6.242248863166598
21;14510;0.0;8.0;3.9;2.3;57292.0;2.0;4.0;6.0;49.36;50.64;834;5.74776016540317
22;14506;0.0;8.0;4.0;2.3;58281.0;2.0;4.0;6.0;50.22;49.78;849;5.852750585964428
23;14462;0.0;8.0;3.8;2.3;54858.0;2.0;4.0;6.0;47.42;52.58;1123;7.7651777070944545
