hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;16.0;5.2;3.4;75138.0;2.0;5.0;7.0;32.68;67.32;584;4.063739475332266
1;14398;0.0;16.0;5.3;3.5;76487.0;2.0;5.0;7.0;33.2;66.8;586;4.070009723572719
2;14462;0.0;16.0;5.3;3.5;76659.0;2.0;5.0;7.0;33.13;66.87;614;4.2456091826856595
3;14368;0.0;16.0;5.2;3.4;75289.0;2.0;5.0;7.0;32.75;67.25;542;3.7722717149220495
4;14395;0.0;16.0;5.2;3.4;75296.0;2.0;5.0;7.0;32.69;67.31;562;3.9041333796457107
5;14415;0.0;16.0;5.2;3.4;74680.0;2.0;5.0;7.0;32.38;67.62;598;4.148456468955949
6;14454;0.0;16.0;5.1;3.4;74328.0;2.0;5.0;7.0;32.14;67.86;565;3.9089525390895252
7;14396;0.0;16.0;5.2;3.4;74251.0;2.0;5.0;7.0;32.24;67.75999999999999;496;3.445401500416782
8;14322;0.0;16.0;5.2;3.3;73813.0;2.0;5.0;7.0;32.21;67.78999999999999;436;3.0442675603965927
9;14283;0.0;14.0;5.0;3.2;71418.0;2.0;4.0;7.0;31.25;68.75;558;3.9067422810333965
10;14496;0.0;14.0;4.9;3.2;71709.0;2.0;4.0;7.0;30.92;69.08;581;4.008002207505519
11;14588;0.0;15.0;5.0;3.3;73072.0;2.0;4.0;7.0;31.31;68.69;388;2.6597203180696463
12;14569;0.0;16.0;5.1;3.3;74074.0;2.0;5.0;7.0;31.78;68.22;337;2.3131306198091837
13;14520;0.0;16.0;5.1;3.3;73717.0;2.0;4.0;7.0;31.73;68.27;356;2.451790633608815
14;14499;0.0;15.0;5.0;3.2;72145.0;2.0;4.0;7.0;31.1;68.9;487;3.3588523346437684
15;14418;0.0;15.0;4.9;3.2;70975.0;2.0;4.0;7.0;30.77;69.23;517;3.5857955333610763
16;14400;0.0;14.0;4.9;3.3;70337.0;2.0;4.0;8.0;30.53;69.47;519;3.6041666666666665
17;14448;0.0;15.0;4.9;3.4;71289.0;2.0;4.0;7.0;30.84;69.16;490;3.391472868217054
18;14446;0.0;16.0;5.1;3.4;73185.0;2.0;4.0;8.0;31.66;68.34;397;2.748165582168074
19;14460;0.0;16.0;5.1;3.4;73331.0;2.0;4.0;8.0;31.7;68.3;442;3.0567081604426
20;14514;0.0;16.0;5.2;3.5;74854.0;2.0;5.0;8.0;32.23;67.77000000000001;477;3.2864820173625464
21;14510;0.0;16.0;5.2;3.5;75234.0;2.0;4.0;8.0;32.41;67.59;462;3.184011026878015
22;14506;0.0;16.0;5.2;3.5;75814.0;2.0;5.0;8.0;32.66;67.34;483;3.3296566937818834
23;14462;0.0;16.0;5.2;3.5;75761.0;2.0;5.0;8.0;32.74;67.25999999999999;444;3.070114783570737
