hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;12.0;5.2;3.2;74822.0;3.0;5.0;7.0;43.39;56.61;715;4.975297474079745
1;14398;0.0;12.0;5.3;3.2;75767.0;3.0;5.0;8.0;43.85;56.15;565;3.9241561327962216
2;14462;0.0;12.0;5.3;3.2;76351.0;3.0;5.0;8.0;44.0;56.0;603;4.169547780389988
3;14368;0.0;12.0;5.2;3.2;74560.0;3.0;5.0;8.0;43.24;56.76;688;4.788418708240535
4;14395;0.0;12.0;5.1;3.2;73793.0;3.0;5.0;7.0;42.72;57.28;725;5.0364709968739145
5;14415;0.0;12.0;5.2;3.2;74681.0;3.0;5.0;8.0;43.17;56.83;575;3.988900450919181
6;14454;0.0;12.0;5.1;3.2;74043.0;3.0;5.0;8.0;42.69;57.31;720;4.9813200498132
7;14396;0.0;12.0;5.0;3.2;72054.0;2.0;5.0;7.0;41.71;58.29;796;5.529313698249514
8;14322;0.0;12.0;4.8;3.2;68946.0;2.0;4.0;7.0;40.12;59.88;813;5.676581483033096
9;14283;0.0;12.0;4.6;3.1;66400.0;2.0;4.0;7.0;38.74;61.26;750;5.250997689561017
10;14496;0.0;12.0;4.6;3.0;67296.0;2.0;4.0;7.0;38.69;61.31;555;3.8286423841059603
11;14588;0.0;12.0;4.5;3.0;65749.0;2.0;4.0;6.0;37.56;62.44;742;5.08637236084453
12;14569;0.0;12.0;4.4;2.9;64354.0;2.0;4.0;6.0;36.81;63.19;826;5.669572379710345
13;14520;0.0;12.0;4.3;3.0;62862.0;2.0;4.0;6.0;36.08;63.92;851;5.860881542699724
14;14500;0.0;12.0;4.3;3.0;62031.0;2.0;4.0;6.0;35.65;64.35;1104;7.613793103448276
15;14418;0.0;12.0;4.2;3.0;60980.0;2.0;4.0;6.0;35.25;64.75;1147;7.955333610764323
16;14400;0.0;12.0;4.3;3.0;61895.0;2.0;4.0;6.0;35.82;64.18;1146;7.958333333333334
17;14448;0.0;12.0;4.4;3.0;63598.0;2.0;4.0;6.0;36.68;63.32;895;6.194629014396456
18;14446;0.0;12.0;4.5;3.0;65347.0;2.0;4.0;7.0;37.7;62.3;984;6.811574138169736
19;14460;0.0;12.0;4.7;3.1;67327.0;2.0;5.0;7.0;38.8;61.2;1014;7.012448132780083
20;14514;0.0;12.0;4.8;3.0;69323.0;2.0;5.0;7.0;39.8;60.2;918;6.3249276560562215
21;14510;0.0;12.0;4.9;3.1;71441.0;2.0;5.0;7.0;41.03;58.97;924;6.36802205375603
22;14506;0.0;12.0;5.0;3.1;72220.0;3.0;5.0;7.0;41.49;58.51;1057;7.2866400110299185
23;14462;0.0;12.0;5.1;3.1;74066.0;3.0;5.0;7.0;42.68;57.32;939;6.4928778868759505
