hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;12.0;5.0;3.2;71362.0;2.0;5.0;7.0;41.38;58.62;717;4.989214390091156
1;14398;0.0;12.0;5.1;3.2;73119.0;2.0;5.0;7.0;42.32;57.68;824;5.723017085706348
2;14462;0.0;12.0;5.8;3.4;83497.0;3.0;6.0;8.0;48.11;51.89;543;3.7546674042317796
3;14368;0.0;12.0;6.7;3.4;96305.0;4.0;7.0;9.0;55.86;44.14;334;2.324610244988864
4;14395;0.0;12.0;7.4;3.4;106611.0;5.0;8.0;11.0;61.72;38.28;183;1.2712747481764501
5;14415;0.0;12.0;7.5;3.4;108160.0;5.0;8.0;10.0;62.53;37.47;96;0.6659729448491155
6;14454;0.0;12.0;7.4;3.4;106571.0;5.0;8.0;10.0;61.44;38.56;180;1.2453300124533
7;14396;0.0;12.0;7.4;3.4;106335.0;5.0;8.0;10.0;61.55;38.45;215;1.493470408446791
8;14322;0.0;12.0;7.3;3.3;105144.0;5.0;8.0;10.0;61.18;38.82;287;2.0039100684261975
9;14283;0.0;12.0;7.1;3.3;101734.0;4.0;8.0;10.0;59.36;40.64;217;1.5192886648463209
10;14496;0.0;12.0;6.8;3.2;98080.0;4.0;7.0;9.0;56.38;43.62;285;1.9660596026490067
11;14588;0.0;12.0;6.3;3.2;92092.0;4.0;7.0;9.0;52.61;47.39;441;3.023032629558541
12;14569;0.0;12.0;6.2;3.3;90024.0;3.0;7.0;9.0;51.49;48.51;485;3.32898620358295
13;14520;0.0;12.0;6.0;3.3;87653.0;3.0;6.0;9.0;50.31;49.69;495;3.4090909090909087
14;14499;0.0;12.0;5.8;3.3;83621.0;3.0;6.0;8.0;48.06;51.94;672;4.634802400165529
15;14418;0.0;12.0;5.6;3.3;80048.0;3.0;5.0;8.0;46.27;53.73;823;5.708142599528367
16;14400;0.0;12.0;5.4;3.3;77184.0;3.0;5.0;8.0;44.67;55.33;655;4.548611111111111
17;14448;0.0;12.0;5.1;3.2;73816.0;2.0;5.0;8.0;42.58;57.42;524;3.6267995570321148
18;14446;0.0;12.0;4.9;3.2;71240.0;2.0;5.0;7.0;41.1;58.9;613;4.243389173473626
19;14460;0.0;12.0;4.8;3.2;69924.0;2.0;4.0;7.0;40.3;59.7;725;5.013831258644537
20;14514;0.0;12.0;4.6;3.2;66528.0;2.0;4.0;7.0;38.2;61.8;970;6.683202425244591
21;14510;0.0;12.0;4.3;3.2;61946.0;2.0;4.0;6.0;35.58;64.42;1327;9.145416953824949
22;14506;0.0;12.0;4.2;3.2;61469.0;2.0;4.0;6.0;35.31;64.69;1400;9.651178822556183
23;14462;0.0;12.0;4.7;3.2;67276.0;2.0;4.0;7.0;38.77;61.23;863;5.967362743742221
