hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;5.5;2.0;78427.0;4.0;6.0;7.0;68.22;31.78;60;0.41750748034235613
1;14398;0.0;8.0;5.4;1.9;78360.0;4.0;6.0;7.0;68.03;31.97;60;0.416724545075705
2;14462;0.0;8.0;5.4;2.0;78508.0;4.0;6.0;7.0;67.86;32.14;94;0.6499792559811921
3;14368;0.0;8.0;5.4;2.0;77889.0;4.0;6.0;7.0;67.76;32.239999999999995;212;1.475501113585746
4;14395;0.0;8.0;5.4;2.0;78270.0;4.0;6.0;7.0;67.97;32.03;194;1.3476901701979853
5;14415;0.0;8.0;5.5;2.0;78591.0;4.0;6.0;7.0;68.15;31.849999999999994;120;0.8324661810613945
6;14454;0.0;8.0;5.5;2.0;78861.0;4.0;6.0;7.0;68.2;31.799999999999997;120;0.8302200083022002
7;14396;0.0;8.0;5.4;2.0;78135.0;4.0;6.0;7.0;67.84;32.16;120;0.8335648791330925
8;14322;0.0;8.0;5.2;2.0;74725.0;4.0;5.0;7.0;65.22;34.78;132;0.9216589861751152
9;14283;0.0;8.0;5.0;1.9;71413.0;4.0;5.0;7.0;62.5;37.5;113;0.7911503185605265
10;14496;0.0;8.0;4.9;1.9;71423.0;3.0;5.0;6.0;61.59;38.41;86;0.5932671081677704
11;14588;0.0;8.0;4.9;2.0;70785.0;3.0;5.0;6.0;60.65;39.35;80;0.5483959418700302
12;14569;0.0;8.0;4.9;2.0;71183.0;3.0;5.0;7.0;61.07;38.93;86;0.5902944608415128
13;14520;0.0;8.0;4.9;1.9;71420.0;3.0;5.0;7.0;61.48;38.52;60;0.4132231404958678
14;14500;0.0;8.0;4.8;2.0;70168.0;3.0;5.0;7.0;60.49;39.51;67;0.46206896551724136
15;14418;0.0;8.0;4.7;2.0;68191.0;3.0;5.0;6.0;59.12;40.88;131;0.9085864891108337
16;14400;0.0;8.0;4.6;2.0;66508.0;3.0;5.0;6.0;57.73;42.27;206;1.4305555555555556
17;14449;0.0;8.0;4.7;2.0;68118.0;3.0;5.0;6.0;58.93;41.07;160;1.1073430687244792
18;14446;0.0;8.0;4.9;2.0;70077.0;3.0;5.0;6.0;60.64;39.36;237;1.6405925515713693
19;14460;0.0;8.0;5.1;1.9;73325.0;4.0;5.0;7.0;63.39;36.61;80;0.5532503457814661
20;14514;0.0;8.0;5.2;1.9;75636.0;4.0;5.0;7.0;65.14;34.86;69;0.475403059115337
21;14510;0.0;8.0;5.3;2.0;77127.0;4.0;5.0;7.0;66.44;33.56;30;0.20675396278428668
22;14506;0.0;8.0;5.4;2.0;78035.0;4.0;5.0;7.0;67.24;32.760000000000005;60;0.41362194953812215
23;14462;0.0;8.0;5.4;2.0;78501.0;4.0;6.0;7.0;67.85;32.150000000000006;60;0.4148803761582077
