hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;16.0;8.7;4.1;125203.0;6.0;8.0;12.0;54.45;45.55;60;0.41750748034235613
1;14398;0.0;16.0;8.8;4.1;126466.0;6.0;8.0;12.0;54.9;45.1;60;0.416724545075705
2;14462;0.0;16.0;8.9;4.0;128400.0;6.0;9.0;12.0;55.49;44.51;60;0.4148803761582077
3;14368;0.0;16.0;8.9;4.0;128119.0;6.0;9.0;12.0;55.73;44.27;60;0.41759465478841873
4;14395;0.0;16.0;9.0;4.0;129632.0;6.0;9.0;12.0;56.28;43.72;60;0.4168113928447377
5;14415;0.0;16.0;9.0;4.0;129535.0;6.0;9.0;12.0;56.16;43.84;60;0.41623309053069724
6;14454;0.0;16.0;9.0;4.1;130306.0;6.0;9.0;12.0;56.35;43.65;9;0.062266500622665005
7;14396;1.0;16.0;9.0;4.0;129037.0;6.0;9.0;12.0;56.02;43.98;0;0.0
8;14322;1.0;16.0;8.8;4.0;125767.0;6.0;9.0;12.0;54.88;45.12;0;0.0
9;14283;1.0;16.0;8.7;4.0;123658.0;5.0;9.0;11.0;54.11;45.89;0;0.0
10;14496;1.0;16.0;8.6;3.9;125083.0;6.0;9.0;11.0;53.93;46.07;0;0.0
11;14588;0.0;16.0;8.5;4.0;124493.0;5.0;8.0;11.0;53.34;46.66;75;0.5141211955031533
12;14569;0.0;16.0;8.5;4.0;123654.0;5.0;8.0;11.0;53.05;46.95;79;0.5422472372846454
13;14520;0.0;16.0;8.4;4.0;122288.0;5.0;8.0;11.0;52.64;47.36;5;0.03443526170798898
14;14502;0.0;16.0;8.4;4.0;121900.0;5.0;8.0;11.0;52.54;47.46;20;0.1379120121362571
15;14418;0.0;16.0;8.4;4.0;121300.0;5.0;8.0;11.0;52.58;47.42;59;0.40921070883617705
16;14400;0.0;16.0;8.2;4.0;118751.0;5.0;8.0;11.0;51.54;48.46;115;0.798611111111111
17;14449;0.0;16.0;8.2;4.0;118514.0;5.0;8.0;11.0;51.26;48.74;166;1.148868433801647
18;14446;0.0;16.0;8.3;4.0;119595.0;5.0;8.0;11.0;51.74;48.26;163;1.1283400249203932
19;14460;0.0;16.0;8.4;3.9;121614.0;5.0;8.0;11.0;52.56;47.44;72;0.49792531120331945
20;14514;0.0;16.0;8.5;4.0;123389.0;6.0;8.0;11.0;53.13;46.87;116;0.7992283312663636
21;14510;0.0;16.0;8.5;4.0;123834.0;6.0;8.0;11.0;53.34;46.66;120;0.8270158511371467
22;14506;0.0;16.0;8.6;4.0;124359.0;6.0;8.0;11.0;53.58;46.42;81;0.5583896318764648
23;14462;0.0;16.0;8.6;4.1;124904.0;6.0;8.0;12.0;53.98;46.02;60;0.4148803761582077
