hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.9;2.0;70628.0;3.0;5.0;6.0;61.43;38.57;210;1.4612761811982464
1;14398;0.0;8.0;5.0;2.0;72475.0;4.0;5.0;7.0;62.92;37.08;189;1.3126823169884707
2;14462;0.0;8.0;5.1;2.0;73669.0;4.0;5.0;7.0;63.67;36.33;180;1.244641128474623
3;14368;0.0;8.0;5.2;2.0;74227.0;4.0;5.0;7.0;64.58;35.42;171;1.1901447661469933
4;14395;0.0;8.0;5.2;2.0;75297.0;4.0;5.0;7.0;65.38;34.620000000000005;180;1.2504341785342132
5;14415;0.0;8.0;5.2;2.0;74963.0;4.0;5.0;7.0;65.0;35.0;180;1.2486992715920915
6;14454;0.0;8.0;5.2;2.0;75189.0;4.0;5.0;7.0;65.02;34.980000000000004;180;1.2453300124533
7;14396;0.0;8.0;5.1;2.0;73473.0;4.0;5.0;7.0;63.8;36.2;180;1.2503473186996388
8;14322;0.0;8.0;5.0;2.0;70898.0;3.0;5.0;7.0;61.88;38.12;182;1.270772238514174
9;14283;0.0;8.0;4.9;2.0;70434.0;3.0;5.0;6.0;61.64;38.36;125;0.8751662815935028
10;14496;0.0;8.0;4.8;2.0;69529.0;3.0;5.0;6.0;59.96;40.04;233;1.6073399558498895
11;14588;0.0;8.0;4.7;2.0;68404.0;3.0;5.0;6.0;58.61;41.39;242;1.6588977241568412
12;14569;0.0;8.0;4.6;2.0;67718.0;3.0;5.0;6.0;58.1;41.9;142;0.9746722492964514
13;14520;0.0;8.0;4.6;2.0;66536.0;3.0;5.0;6.0;57.28;42.72;135;0.9297520661157025
14;14498;0.0;8.0;4.5;2.0;65371.0;3.0;5.0;6.0;56.36;43.64;189;1.303628086632639
15;14418;0.0;8.0;4.4;2.0;63563.0;3.0;4.0;6.0;55.11;44.89;269;1.8657234013039254
16;14400;0.0;8.0;4.5;2.0;64171.0;3.0;4.0;6.0;55.7;44.3;287;1.9930555555555556
17;14449;0.0;8.0;4.6;2.0;66020.0;3.0;5.0;6.0;57.11;42.89;308;2.1316354072946226
18;14446;0.0;8.0;4.7;2.0;67737.0;3.0;5.0;6.0;58.61;41.39;238;1.6475148830125987
19;14460;0.0;8.0;4.7;2.0;68331.0;3.0;5.0;6.0;59.07;40.93;242;1.673582295988935
20;14514;0.0;8.0;4.8;2.0;69282.0;3.0;5.0;6.0;59.67;40.33;178;1.2264020945294198
21;14510;0.0;8.0;4.8;2.1;69456.0;3.0;5.0;6.0;59.83;40.17;271;1.8676774638180564
22;14506;0.0;8.0;4.8;2.0;70027.0;3.0;5.0;6.0;60.34;39.66;200;1.3787398317937405
23;14462;0.0;8.0;4.8;2.0;70140.0;3.0;5.0;6.0;60.62;39.38;256;1.770156271608353
