hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;16.0;7.9;4.4;113377.0;4.0;8.0;12.0;49.31;50.69;149;1.0368102428501844
1;14398;0.0;16.0;8.0;4.5;115567.0;4.0;8.0;12.0;50.17;49.83;263;1.8266425892485068
2;14462;0.0;16.0;8.0;4.6;115071.0;4.0;8.0;11.0;49.73;50.27;231;1.5972894482090998
3;14368;0.0;16.0;7.5;4.6;107649.0;3.0;7.0;11.0;46.83;53.17;290;2.01837416481069
4;14395;0.0;16.0;7.0;4.6;100760.0;3.0;7.0;11.0;43.75;56.25;655;4.550191038555053
5;14415;0.0;16.0;6.8;4.8;98180.0;3.0;7.0;10.0;42.57;57.43;1025;7.11064862989941
6;14454;0.0;16.0;6.8;4.8;98477.0;2.0;7.0;10.0;42.58;57.42;1088;7.527328075273281
7;14396;0.0;16.0;6.7;4.7;96849.0;3.0;7.0;10.0;42.05;57.95;1026;7.126979716587941
8;14322;0.0;16.0;6.6;4.4;94908.0;3.0;6.0;10.0;41.42;58.58;621;4.335986594051111
9;14283;0.0;16.0;6.9;4.2;98878.0;3.0;7.0;10.0;43.27;56.73;438;3.0665826507036336
10;14496;0.0;16.0;6.8;4.0;98826.0;3.0;7.0;10.0;42.61;57.39;337;2.324779249448124
11;14588;0.0;16.0;6.6;4.0;96551.0;3.0;7.0;10.0;41.37;58.63;391;2.680285165889772
12;14569;0.0;16.0;6.6;3.9;95622.0;3.0;7.0;10.0;41.02;58.98;366;2.5121834031162056
13;14520;0.0;16.0;6.5;3.8;94165.0;3.0;7.0;10.0;40.53;59.47;449;3.0922865013774103
14;14500;0.0;16.0;6.6;3.9;96067.0;3.0;6.0;10.0;41.41;58.59;622;4.289655172413793
15;14418;0.0;16.0;6.5;4.0;94078.0;3.0;6.0;10.0;40.78;59.22;726;5.035372451102789
16;14400;0.0;16.0;6.7;4.0;95803.0;3.0;7.0;10.0;41.58;58.42;597;4.145833333333333
17;14449;0.0;16.0;6.7;3.9;97151.0;3.0;6.0;10.0;42.02;57.98;405;2.802962142708838
18;14446;0.0;16.0;6.8;4.0;97660.0;3.0;6.0;10.0;42.25;57.75;401;2.7758549079329917
19;14460;0.0;16.0;6.9;4.2;100029.0;3.0;7.0;10.0;43.24;56.76;545;3.769017980636238
20;14514;0.0;16.0;7.1;4.3;103612.0;4.0;7.0;11.0;44.62;55.38;501;3.4518396031417944
21;14510;0.0;16.0;7.2;4.3;105190.0;4.0;7.0;11.0;45.31;54.69;355;2.4465885596140593
22;14506;0.0;16.0;7.4;4.2;107201.0;4.0;7.0;11.0;46.19;53.81;224;1.5441886116089893
23;14462;0.0;16.0;7.6;4.3;109469.0;4.0;7.0;11.0;47.31;52.69;179;1.2377264555386531
