hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;16.0;7.8;4.1;111689.0;5.0;7.0;11.0;48.57;51.43;245;1.7048222113979543
1;14398;0.0;16.0;8.1;4.3;117169.0;5.0;8.0;12.0;50.86;49.14;158;1.097374635366023
2;14462;0.0;16.0;7.9;4.4;114391.0;4.0;7.0;12.0;49.44;50.56;149;1.0302862674595492
3;14368;0.0;16.0;6.9;4.6;98548.0;3.0;6.0;11.0;42.87;57.13;357;2.484688195991091
4;14395;0.0;16.0;6.1;4.5;87887.0;2.0;5.0;10.0;38.16;61.84;409;2.841264327891629
5;14415;0.0;16.0;5.9;4.5;85139.0;2.0;5.0;9.0;36.91;63.09;398;2.7610128338536244
6;14454;0.0;16.0;6.0;4.4;86604.0;2.0;5.0;9.0;37.45;62.55;316;2.18624602186246
7;14396;0.0;16.0;6.0;4.4;86505.0;2.0;5.0;9.0;37.56;62.44;403;2.7993887190886357
8;14322;0.0;16.0;6.2;4.0;88805.0;3.0;5.0;9.0;38.75;61.25;296;2.066750453847228
9;14283;0.0;16.0;7.0;3.9;100008.0;4.0;7.0;10.0;43.76;56.24;168;1.1762234824616677
10;14496;0.0;16.0;6.9;3.8;100154.0;4.0;6.0;10.0;43.18;56.82;210;1.4486754966887416
11;14588;0.0;16.0;6.9;3.9;100455.0;4.0;7.0;10.0;43.04;56.96;173;1.1859062242939402
12;14569;0.0;16.0;6.8;3.8;99532.0;4.0;6.0;9.0;42.7;57.3;120;0.823666689546297
13;14520;0.0;16.0;6.8;3.7;98548.0;4.0;6.0;9.0;42.42;57.58;153;1.0537190082644627
14;14503;0.0;16.0;6.9;3.8;100420.0;4.0;7.0;9.0;43.28;56.72;220;1.51692753223471
15;14418;0.0;16.0;7.2;3.8;103359.0;4.0;7.0;10.0;44.8;55.2;194;1.3455402968511583
16;14400;0.0;16.0;7.3;3.9;105172.0;4.0;7.0;10.0;45.65;54.35;217;1.5069444444444444
17;14449;0.0;16.0;7.0;3.8;100817.0;4.0;7.0;10.0;43.61;56.39;193;1.335732576648903
18;14446;0.0;16.0;6.8;3.7;98544.0;4.0;7.0;10.0;42.63;57.37;75;0.5191748580922054
19;14460;0.0;16.0;6.8;3.9;98845.0;4.0;7.0;10.0;42.72;57.28;111;0.7676348547717842
20;14514;0.0;16.0;6.9;3.9;100483.0;4.0;6.0;10.0;43.27;56.73;158;1.088604106380047
21;14510;0.0;16.0;7.1;3.9;102446.0;4.0;7.0;10.0;44.13;55.87;292;2.0124052377670574
22;14506;0.0;16.0;7.1;4.0;103582.0;4.0;7.0;10.0;44.63;55.37;161;1.1098855645939611
23;14462;0.0;16.0;7.3;4.1;105998.0;4.0;7.0;10.0;45.81;54.19;369;2.5515143133729774
