hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;16.0;7.4;3.9;106021.0;4.0;7.0;10.0;46.11;53.89;120;0.8350149606847123
1;14398;0.0;16.0;7.2;3.8;103172.0;4.0;7.0;10.0;44.79;55.21;72;0.5000694540908459
2;14462;0.0;16.0;6.9;3.9;100171.0;4.0;7.0;10.0;43.29;56.71;148;1.023371594523579
3;14368;0.0;16.0;6.8;3.9;98207.0;4.0;7.0;10.0;42.72;57.28;214;1.489420935412027
4;14395;0.0;16.0;6.6;3.9;94454.0;3.0;6.0;9.0;41.01;58.99;259;1.7992358457797848
5;14415;0.0;16.0;6.4;4.0;92046.0;3.0;6.0;9.0;39.91;60.09;356;2.4696496704821365
6;14454;0.0;16.0;6.4;4.0;92357.0;3.0;6.0;9.0;39.94;60.06;360;2.4906600249066
7;14396;0.0;16.0;6.2;3.8;89717.0;3.0;6.0;9.0;38.95;61.05;360;2.5006946373992776
8;14322;0.0;15.0;6.0;3.6;86194.0;3.0;6.0;8.0;37.61;62.39;357;2.4926686217008798
9;14283;0.0;15.0;6.1;3.5;86924.0;3.0;6.0;8.0;38.04;61.96;219;1.5332913253518168
10;14496;0.0;15.0;6.3;3.4;91217.0;4.0;6.0;8.0;39.33;60.67;156;1.076158940397351
11;14588;0.0;16.0;6.4;3.4;93846.0;4.0;6.0;9.0;40.21;59.79;188;1.2887304633945709
12;14569;0.0;16.0;6.3;3.5;92270.0;3.0;6.0;8.0;39.58;60.42;127;0.8717139131031643
13;14520;0.0;16.0;6.1;3.4;87986.0;3.0;6.0;8.0;37.87;62.13;183;1.2603305785123966
14;14502;0.0;15.0;6.3;3.4;91359.0;4.0;6.0;8.0;39.37;60.63;281;1.937663770514412
15;14418;0.0;16.0;6.3;3.5;90661.0;4.0;6.0;8.0;39.3;60.7;181;1.2553752254126784
16;14400;0.0;16.0;6.3;3.6;91107.0;4.0;6.0;8.0;39.54;60.46;185;1.284722222222222
17;14449;0.0;16.0;6.4;3.6;92350.0;4.0;6.0;9.0;39.95;60.05;148;1.0242923385701432
18;14446;0.0;16.0;6.7;3.6;96366.0;4.0;6.0;9.0;41.69;58.31;168;1.1629516821265402
19;14460;0.0;16.0;7.0;3.6;101239.0;4.0;7.0;9.0;43.76;56.24;45;0.3112033195020747
20;14514;0.0;16.0;7.1;3.6;103256.0;4.0;7.0;9.0;44.46;55.54;32;0.22047678103899684
21;14510;0.0;16.0;7.2;3.7;104895.0;4.0;7.0;10.0;45.18;54.82;33;0.22742935906271536
22;14506;0.0;16.0;7.3;3.8;105840.0;4.0;7.0;10.0;45.6;54.4;63;0.43430304701502825
23;14462;0.0;16.0;7.3;3.8;105364.0;4.0;7.0;10.0;45.53;54.47;85;0.5877471995574609
