hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;16.0;8.4;4.5;121212.0;5.0;9.0;12.0;52.72;47.28;336;2.338041889917194
1;14398;0.0;16.0;8.0;4.6;114473.0;4.0;8.0;12.0;49.69;50.31;435;3.0212529517988607
2;14462;0.0;16.0;7.7;4.5;110847.0;4.0;8.0;12.0;47.9;52.1;450;3.111602821186558
3;14368;0.0;16.0;7.3;4.5;104977.0;3.0;7.0;11.0;45.66;54.34;480;3.34075723830735
4;14395;0.0;16.0;7.1;4.6;102186.0;3.0;7.0;11.0;44.37;55.63;425;2.9524140326502257
5;14415;0.0;16.0;7.1;4.6;102248.0;3.0;7.0;11.0;44.33;55.67;455;3.156434269857787
6;14454;0.0;16.0;7.0;4.7;101309.0;3.0;7.0;11.0;43.81;56.19;545;3.7705825377058253
7;14396;0.0;16.0;6.9;4.7;99481.0;2.0;7.0;11.0;43.19;56.81;570;3.95943317588219
8;14307;0.0;16.0;6.7;4.6;95614.0;2.0;6.0;10.0;41.77;58.23;462;3.229188509121409
9;14228;0.0;16.0;6.6;4.5;93404.0;2.0;6.0;10.0;41.03;58.97;430;3.0222097272982853
10;14436;0.0;16.0;6.6;4.3;95939.0;3.0;6.0;10.0;41.54;58.46;359;2.486838459407038
11;14528;0.0;16.0;6.7;4.1;97066.0;3.0;7.0;10.0;41.76;58.24;296;2.0374449339207046
12;14543;0.0;16.0;6.8;4.1;98800.0;3.0;6.0;10.0;42.46;57.54;42;0.28879873478649526
13;14520;0.0;16.0;6.9;4.1;100714.0;3.0;7.0;10.0;43.35;56.65;56;0.3856749311294766
14;14451;0.0;16.0;7.0;4.1;100723.0;3.0;7.0;10.0;43.56;56.44;133;0.9203515327658985
15;14367;0.0;16.0;7.0;4.1;101216.0;4.0;7.0;10.0;44.03;55.97;262;1.8236235818194473
16;14400;0.0;16.0;7.1;4.1;102751.0;4.0;7.0;10.0;44.6;55.4;228;1.5833333333333335
17;14414;0.0;16.0;7.4;4.2;106941.0;4.0;7.0;10.0;46.37;53.63;314;2.178437630081865
18;14386;0.0;16.0;7.9;4.2;113917.0;5.0;7.0;11.0;49.49;50.51;248;1.7238982343945504
19;14373;0.0;16.0;8.3;4.1;119965.0;5.0;8.0;11.0;52.17;47.83;176;1.2245181938356642
20;14427;0.0;16.0;8.7;4.2;126113.0;5.0;8.0;12.0;54.63;45.37;154;1.067442988840369
21;14391;0.0;16.0;9.0;4.2;130168.0;6.0;9.0;12.0;56.53;43.47;156;1.084010840108401
22;14503;0.0;16.0;9.2;4.2;133059.0;6.0;9.0;13.0;57.34;42.66;144;0.992898021099083
23;14462;0.0;16.0;9.0;4.3;130087.0;6.0;9.0;13.0;56.22;43.78;152;1.0510302862674596
