hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.6;2.3;52172.0;2.0;3.0;5.0;45.38;54.62;700;4.870920603994155
1;14398;0.0;8.0;3.7;2.3;52851.0;2.0;3.0;5.0;45.88;54.12;739;5.132657313515766
2;14462;0.0;8.0;3.7;2.3;53507.0;2.0;3.0;5.0;46.25;53.75;720;4.978564513898492
3;14368;0.0;8.0;3.7;2.3;52985.0;2.0;3.0;5.0;46.1;53.9;733;5.101614699331849
4;14395;0.0;8.0;3.7;2.3;53296.0;2.0;3.0;5.0;46.28;53.72;771;5.35602639805488
5;14415;0.0;8.0;3.7;2.4;53445.0;2.0;3.0;5.0;46.34;53.66;746;5.175164758931668
6;14454;0.0;8.0;3.7;2.4;53789.0;2.0;3.0;5.0;46.52;53.48;780;5.3964300539643
7;14396;0.0;8.0;3.7;2.3;53746.0;2.0;3.0;5.0;46.67;53.33;761;5.286190608502362
8;14322;0.0;8.0;3.4;2.3;48630.0;2.0;3.0;5.0;42.44;57.56;1049;7.3243960340734535
9;14283;0.0;8.0;3.2;2.3;45286.0;1.0;3.0;5.0;39.63;60.37;1280;8.961702723517469
10;14496;0.0;8.0;3.2;2.3;46173.0;1.0;3.0;4.0;39.82;60.18;1216;8.388520971302428
11;14588;0.0;8.0;3.2;2.3;46836.0;1.0;3.0;5.0;40.13;59.87;1173;8.040855497669318
12;14569;0.0;8.0;3.1;2.3;45855.0;1.0;3.0;5.0;39.34;60.66;1068;7.3306335369620435
13;14520;0.0;8.0;3.0;2.2;44186.0;1.0;3.0;4.0;38.04;61.96;1173;8.078512396694215
14;14502;0.0;8.0;3.1;2.2;44248.0;1.0;3.0;4.0;38.14;61.86;1154;7.9575231002620335
15;14418;0.0;8.0;3.0;2.2;43586.0;1.0;3.0;4.0;37.79;62.21;1180;8.18421417672354
16;14378;0.0;8.0;3.1;2.2;44073.0;1.0;3.0;4.0;38.32;61.68;1286;8.9442203366254
17;14448;0.0;8.0;3.1;2.1;45122.0;2.0;3.0;4.0;39.04;60.96;1186;8.20874861572536
18;14447;0.0;8.0;3.2;2.2;46393.0;2.0;3.0;4.0;40.14;59.86;950;6.575759673288573
19;14460;0.0;8.0;3.3;2.2;47892.0;2.0;3.0;5.0;41.4;58.6;808;5.587828492392808
20;14514;0.0;8.0;3.4;2.3;49286.0;2.0;3.0;5.0;42.45;57.55;846;5.828854898718479
21;14510;0.0;8.0;3.5;2.3;50488.0;2.0;3.0;5.0;43.49;56.51;808;5.568573397656788
22;14506;0.0;8.0;3.5;2.3;50864.0;2.0;3.0;5.0;43.83;56.17;744;5.128912174272715
23;14462;0.0;8.0;3.6;2.3;51951.0;2.0;3.0;5.0;44.9;55.1;670;4.632830867099986
