hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;16.0;10.9;3.8;156867.0;8.0;11.0;14.0;68.22;31.78;11;0.07654303806276529
1;14398;0.0;16.0;11.1;3.8;159184.0;9.0;11.0;14.0;69.1;30.900000000000006;21;0.14585359077649673
2;14462;0.0;16.0;11.2;3.7;161913.0;9.0;12.0;14.0;69.97;30.03;59;0.40796570322223763
3;14368;0.0;16.0;11.4;3.7;163374.0;9.0;12.0;15.0;71.07;28.930000000000007;60;0.41759465478841873
4;14395;0.0;16.0;11.6;3.7;166650.0;9.0;12.0;15.0;72.36;27.64;60;0.4168113928447377
5;14415;0.0;16.0;11.6;3.7;167645.0;9.0;12.0;15.0;72.69;27.310000000000002;60;0.41623309053069724
6;14454;0.0;16.0;11.6;3.6;168271.0;9.0;12.0;15.0;72.76;27.239999999999995;60;0.4151100041511001
7;14396;0.0;16.0;11.6;3.6;166300.0;9.0;12.0;15.0;72.2;27.799999999999997;32;0.22228396776882464
8;14322;0.0;16.0;10.2;3.8;146264.0;7.0;11.0;14.0;63.83;36.17;42;0.2932551319648094
9;14283;0.0;16.0;9.4;3.7;134159.0;6.0;9.0;13.0;58.71;41.29;60;0.42007981516488135
10;14496;0.0;16.0;8.8;3.6;126866.0;6.0;8.0;11.0;54.7;45.3;56;0.3863134657836645
11;14588;0.0;16.0;8.2;3.6;119414.0;5.0;8.0;11.0;51.16;48.84;1;0.006854949273375377
12;14569;0.0;16.0;7.9;3.7;114536.0;5.0;8.0;11.0;49.14;50.86;19;0.13041389251149701
13;14520;0.0;16.0;7.5;3.7;109430.0;5.0;7.0;10.0;47.1;52.9;84;0.5785123966942148
14;14497;0.0;16.0;7.2;3.6;104710.0;4.0;7.0;10.0;45.14;54.86;223;1.5382492929571636
15;14418;0.0;16.0;7.0;3.6;101358.0;4.0;7.0;10.0;43.94;56.06;247;1.7131363573311138
16;14400;0.0;16.0;7.2;3.8;103806.0;4.0;7.0;10.0;45.05;54.95;221;1.5347222222222223
17;14449;0.0;16.0;7.9;3.7;113715.0;5.0;8.0;11.0;49.19;50.81;54;0.3737282856945118
18;14447;0.0;16.0;8.8;3.8;126707.0;6.0;9.0;12.0;54.82;45.18;63;0.43607669412334743
19;14460;0.0;16.0;9.3;3.9;134488.0;7.0;9.0;12.0;58.13;41.87;202;1.396957123098202
20;14514;0.0;16.0;9.9;3.9;143909.0;7.0;10.0;13.0;61.97;38.03;100;0.6889899407468651
21;14510;0.0;16.0;10.4;3.9;150739.0;8.0;11.0;14.0;64.93;35.06999999999999;39;0.26878015161957275
22;14506;0.0;16.0;10.7;3.7;155247.0;8.0;11.0;14.0;66.89;33.11;36;0.24817316972287332
23;14462;0.0;16.0;11.0;3.7;158595.0;8.0;11.0;14.0;68.54;31.459999999999994;3;0.020744018807910387
