hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;16.0;4.5;3.2;64828.0;2.0;4.0;7.0;28.19;71.81;833;5.796395518753044
1;14398;0.0;16.0;4.5;3.2;64583.0;2.0;4.0;7.0;28.03;71.97;917;6.368940130573692
2;14462;0.0;16.0;4.5;3.2;65776.0;2.0;4.0;7.0;28.43;71.57;876;6.057253491909833
3;14368;0.0;16.0;4.6;3.3;65849.0;2.0;4.0;7.0;28.64;71.36;868;6.041202672605791
4;14395;0.0;16.0;4.7;3.4;66964.0;2.0;4.0;7.0;29.07;70.93;769;5.342132684960055
5;14415;0.0;16.0;4.7;3.4;67437.0;2.0;4.0;7.0;29.24;70.76;732;5.078043704474506
6;14454;0.0;16.0;4.7;3.4;67878.0;2.0;4.0;7.0;29.35;70.65;670;4.63539504635395
7;14396;0.0;16.0;4.7;3.4;67743.0;2.0;4.0;7.0;29.41;70.59;564;3.917754931925535
8;14322;0.0;16.0;4.6;3.3;66366.0;2.0;4.0;7.0;28.96;71.03999999999999;520;3.630777824326212
9;14283;0.0;15.0;4.4;3.3;63290.0;2.0;4.0;6.0;27.69;72.31;806;5.6430721837149065
10;14496;0.0;16.0;4.4;3.2;64000.0;2.0;4.0;6.0;27.59;72.41;1059;7.305463576158941
11;14588;0.0;16.0;4.6;3.2;66767.0;2.0;4.0;6.0;28.61;71.39;707;4.846449136276392
12;14569;0.0;16.0;4.6;3.3;66718.0;2.0;4.0;6.0;28.62;71.38;565;3.8780973299471477
13;14520;0.0;16.0;4.6;3.2;66257.0;2.0;4.0;6.0;28.52;71.48;538;3.7052341597796143
14;14500;0.0;16.0;4.4;3.2;64099.0;2.0;4.0;6.0;27.63;72.37;587;4.048275862068965
15;14418;0.0;16.0;4.4;3.1;62951.0;2.0;4.0;6.0;27.29;72.71000000000001;527;3.6551532806214455
16;14400;0.0;16.0;4.5;3.1;64644.0;2.0;4.0;6.0;28.06;71.94;436;3.0277777777777777
17;14449;0.0;16.0;4.5;3.1;65412.0;2.0;4.0;6.0;28.29;71.71000000000001;640;4.429372274897917
18;14447;0.0;16.0;4.4;3.1;63499.0;2.0;4.0;6.0;27.47;72.53;873;6.042777047137815
19;14460;0.0;15.0;4.5;3.1;64576.0;2.0;4.0;6.0;27.91;72.09;788;5.449515905947441
20;14514;0.0;16.0;4.5;3.1;65312.0;2.0;4.0;6.0;28.12;71.88;685;4.719581094116026
21;14510;0.0;16.0;4.5;3.2;65284.0;2.0;4.0;7.0;28.12;71.88;864;5.954514128187457
22;14506;0.0;16.0;4.6;3.2;66232.0;2.0;4.0;7.0;28.54;71.46000000000001;876;6.038880463256584
23;14462;0.0;16.0;4.6;3.2;66345.0;2.0;4.0;7.0;28.67;71.33;652;4.508366754252524
